timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
11:21:30.058676,-4,-8,-4,-4,-5,-4,-5,-4
11:21:30.059446,3,-5,-2,-3,-3,0,0,2
11:21:30.066546,-8,-5,-14,-6,8,-2,-2,-5
11:21:30.073654,2,1,5,-21,-12,3,0,1
11:21:30.089269,-7,-9,-5,4,-3,-4,-6,-5
11:21:30.095966,4,-2,4,5,-2,3,3,5
11:21:30.110746,-9,-4,-5,-9,1,-4,-8,-1
11:21:30.111458,1,0,6,1,1,-1,1,0
11:21:30.129924,-2,-1,-8,-3,-6,0,-5,-2
11:21:30.133282,3,7,-3,-6,-8,-1,5,4
11:21:30.155667,-8,-3,-2,-3,-6,-8,-6,-8
11:21:30.156444,1,0,3,6,2,2,4,3
11:21:30.170567,-5,-3,-8,5,2,-5,-5,-3
11:21:30.171449,-3,-4,3,1,4,2,4,0
11:21:30.192085,-6,4,-6,0,6,-1,-3,-4
11:21:30.193296,5,0,2,-5,-2,2,3,2
11:21:30.208266,-7,-4,-8,0,1,-2,-5,-3
11:21:30.215850,2,0,0,-7,-7,-2,2,4
11:21:30.230703,-6,-5,-6,6,1,-1,-1,-1
11:21:30.231435,-4,-2,-15,-8,2,3,-1,2
11:21:30.252017,-4,-5,-14,-44,-7,-3,-4,-5
11:21:30.253208,6,8,8,16,9,3,4,4
11:21:30.275603,-4,-3,-9,-3,-3,-6,-6,-2
11:21:30.276654,-1,1,10,7,1,2,4,2
11:21:30.290892,-9,-3,-3,4,2,-1,-6,-3
11:21:30.298167,1,0,-1,3,1,0,4,0
11:21:30.312151,-7,2,7,11,4,-7,-5,-6
11:21:30.313255,1,3,2,-7,0,1,3,2
11:21:30.328283,-4,-6,-5,1,2,-4,-5,-2
11:21:30.335806,6,3,2,0,2,-1,4,2
11:21:30.350850,-4,-3,-6,-24,-9,-1,-6,-6
11:21:30.358134,6,-2,4,7,0,5,6,3
11:21:30.372145,-6,2,-4,7,4,-2,-2,-4
11:21:30.373332,3,3,7,0,3,4,6,-1
11:21:30.388238,-7,-1,-3,-7,-3,-1,-4,-8
11:21:30.395755,4,1,3,-3,-2,0,6,2
11:21:30.410786,-6,-1,-1,9,3,-3,-1,-6
