timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
23:10:08.998520,1,1,17,6,-2,-3,-3,-3
23:10:09.011123,-1,-5,-5,-11,-2,0,0,1
23:10:09.018494,-3,0,-10,-11,-2,-4,-3,-1
23:10:09.040185,-3,1,4,2,1,5,-5,-2
23:10:09.041438,0,-2,-6,-20,-9,1,2,-2
23:10:09.055019,-1,-3,7,5,0,0,-1,-1
23:10:09.056271,-1,1,-1,-1,-1,-3,1,2
23:10:09.070068,1,2,-1,-16,-4,-1,-2,-2
23:10:09.078182,1,4,1,-8,-2,-2,-1,1
23:10:09.092351,-3,-2,-15,-4,-4,-2,0,1
23:10:09.093830,-3,1,0,-8,-2,-3,1,-3
23:10:09.114960,1,-1,-3,-4,-4,-2,0,0
23:10:09.116337,2,-1,-5,-4,-1,2,0,-2
23:10:09.145002,0,-2,-2,5,-1,-4,-2,-1
23:10:09.146483,-6,-4,-20,-24,-11,-2,2,-2
23:10:09.152435,1,0,5,12,4,2,0,-1
23:10:09.153822,3,1,37,19,2,-3,0,1
23:10:09.174924,-3,-3,-1,-13,-4,-3,-3,2
23:10:09.176438,1,4,2,7,1,0,0,-2
23:10:09.197611,0,-1,0,1,-1,1,-3,1
23:10:09.198769,2,3,13,6,1,2,-1,-2
23:10:09.212376,1,-4,-5,-7,-2,-1,0,1
23:10:09.213806,-4,2,2,-2,4,-3,0,0
23:10:09.234817,-3,1,2,-38,-7,-1,2,1
23:10:09.236322,-1,-3,-22,-24,-7,0,2,-2
23:10:09.258473,1,0,3,51,12,4,2,1
23:10:09.260535,-5,-10,-20,-12,-12,-5,-3,-3
23:10:09.272296,-2,-2,0,4,1,-3,-4,-3
23:10:09.273825,1,6,4,8,2,2,-1,1
23:10:09.294871,-4,3,12,31,10,1,0,-5
23:10:09.296300,0,-6,-65,-30,-3,-5,-5,-3
23:10:09.317543,1,3,-4,-38,-11,1,0,2
23:10:09.318909,4,10,16,23,10,-1,-1,0
23:10:09.332372,-1,-2,1,16,8,4,2,1
23:10:09.340110,-4,-8,-4,20,-3,0,-4,-5
23:10:09.354771,1,1,37,-8,-12,0,1,-4
23:10:09.356309,1,6,-2,6,6,1,-2,0
23:10:09.377457,-1,-7,-18,-59,-14,-3,-1,2
23:10:09.378768,-1,8,-1,-5,7,3,2,1
23:10:09.392300,-3,-3,6,21,5,2,-3,-1
23:10:09.400584,-2,-8,-10,-13,-20,-9,-2,-4
23:10:09.414978,1,12,-6,-2,12,6,2,-1
23:10:09.416280,-7,-13,-25,2,-4,-7,-5,-3
23:10:09.437519,4,13,8,-11,5,2,0,-2
23:10:09.438746,-1,-4,-10,-30,1,-2,1,-3
23:10:09.452516,0,4,5,-6,6,2,1,0
23:10:09.460651,0,5,-57,-85,-35,-7,-6,-7
23:10:09.474790,-1,-2,5,17,0,0,-1,5
23:10:09.476194,8,25,14,-1,12,-5,-5,-1
23:10:09.497601,-7,-16,-19,-20,-12,-8,-4,-7
23:10:09.498804,-6,1,-3,-44,-11,-1,-3,-4
23:10:09.512381,-5,-5,-18,-25,-8,-9,-5,-9
23:10:09.520616,3,4,-22,18,16,6,1,-2
23:10:09.535068,-2,-3,3,-8,-8,-4,4,-2
23:10:09.536876,1,8,4,12,10,5,-2,4
23:10:09.557590,-7,-16,-9,-16,-13,-4,2,1
23:10:09.558773,3,6,15,21,21,11,-1,-1
23:10:09.572658,-7,-12,-20,-23,-10,-1,-2,-5
23:10:09.580615,0,-5,-36,-48,-16,-4,2,1
23:10:09.595862,1,1,7,16,5,2,2,1
23:10:09.597274,-3,-7,14,0,4,-1,-5,-4
23:10:09.617567,6,13,19,4,11,5,-1,3
23:10:09.618777,-3,-6,-3,6,-2,-1,-3,-2
23:10:09.647364,-1,-6,-4,-5,-6,0,1,0
23:10:09.648761,5,3,6,1,7,1,1,1
23:10:09.655013,-1,-3,-19,-6,-4,-3,-2,-1
23:10:09.656402,7,16,22,11,6,3,3,2
23:10:09.677639,-4,-4,0,-6,0,1,-3,-2
23:10:09.678783,-1,-6,-3,-1,-4,-1,2,1
23:10:09.692410,3,7,-8,-27,0,2,3,4
23:10:09.700601,0,-8,5,-7,-9,-5,-1,-6
23:10:09.714809,-2,3,8,7,8,2,1,-5
23:10:09.716236,1,-3,4,9,4,1,-1,2
23:10:09.737678,-1,0,-1,-3,-4,-3,-1,-1
23:10:09.738789,-6,-9,-27,-30,-3,-2,-5,-6
23:10:09.759776,-2,-2,10,25,0,-1,-2,-1
23:10:09.767458,-6,-15,-50,-52,-9,-4,1,2
23:10:09.774747,2,11,17,24,8,-2,-4,-1
23:10:09.776211,2,0,1,-11,-8,1,-1,-5
23:10:09.797568,-1,-4,-3,5,1,2,-1,0
23:10:09.798780,1,-1,5,6,4,-3,-3,0
23:10:09.812528,3,3,-8,-11,2,1,2,2
23:10:09.820784,0,2,-4,24,-1,-8,-7,-7
23:10:09.834840,0,9,-4,-13,-2,-1,0,-1
23:10:09.836306,-5,-13,-1,19,6,-1,-2,-3
23:10:09.857498,3,4,-1,5,-4,-1,0,3
23:10:09.858771,-4,-6,-11,-22,-8,-8,-2,0
23:10:09.872465,-1,8,9,12,14,7,6,4
23:10:09.880484,-3,-2,2,9,-7,-2,-2,-3
23:10:09.895009,-1,-1,5,11,2,-2,1,1
23:10:09.896312,0,1,-24,-40,-2,-2,2,-1
23:10:09.917484,-3,-3,3,2,-3,-1,-5,-3
23:10:09.918783,-1,1,10,6,-8,-3,0,-1
23:10:09.932384,-1,-4,-6,4,13,6,5,2
23:10:09.940712,0,3,13,5,-11,-6,-6,-4
23:10:09.955007,-3,-2,1,-3,0,4,-3,-6
23:10:09.956431,0,-2,6,6,-2,-3,-5,-2
23:10:09.977620,-1,-1,-2,-12,-10,-5,-4,-4
23:10:09.978752,-1,-3,1,12,12,6,0,-1
23:10:09.992433,1,10,22,-4,-21,-8,-5,-4
23:10:10.000576,-1,-5,6,-3,4,3,-3,-5
23:10:10.014950,2,3,10,7,-2,-3,-2,-1
23:10:10.016300,-9,-17,-10,-11,-8,1,-1,0
23:10:10.038168,-4,-6,-14,-6,-3,1,-3,3
23:10:10.040250,1,-2,-4,-2,-2,1,-1,1
23:10:10.059940,2,6,6,4,-4,1,3,-3
23:10:10.061419,-1,-2,3,-20,-6,-3,-3,-3
23:10:10.074839,-1,-2,0,-15,-11,-4,2,0
23:10:10.082438,4,6,20,11,18,9,2,1
23:10:10.097500,-5,0,-11,-8,-7,-5,-5,-4
23:10:10.098802,0,3,-1,-30,-15,-6,-2,-1
23:10:10.119914,1,-2,-9,-23,-8,1,3,-1
23:10:10.121219,-4,-2,7,8,-11,-8,-2,-6
23:10:10.134798,-2,7,-1,2,8,3,-1,-1
23:10:10.136252,0,-3,-7,9,9,-1,-4,-3
23:10:10.157480,1,3,4,10,2,-2,-1,0
23:10:10.158749,-3,-15,-33,-20,0,-2,-2,1
23:10:10.180014,4,3,-7,-16,-9,-3,3,0
23:10:10.181283,-3,-2,-5,-3,3,2,-2,1
23:10:10.194966,2,3,-7,-18,4,3,2,-1
23:10:10.196288,0,-6,-17,-32,-7,-3,-1,-1
23:10:10.217704,-1,-5,-10,6,9,3,-3,-6
23:10:10.218819,1,-10,14,12,1,-4,-4,-3
23:10:10.239794,1,11,29,10,3,2,0,2
23:10:10.241269,-6,-10,-16,-10,5,0,-3,-3
23:10:10.254797,0,3,11,10,3,2,3,5
23:10:10.256303,0,-2,1,9,10,4,0,1
23:10:10.277598,1,3,28,12,8,-2,0,-2
23:10:10.278799,-3,4,-7,-9,-7,-3,1,-1
23:10:10.299813,-4,-8,-4,-7,-10,-2,2,-2
23:10:10.301282,2,-8,-22,-4,6,3,-1,3
23:10:10.314936,-3,-10,-6,8,-1,0,1,-3
23:10:10.323042,-5,-8,5,-11,-6,1,2,3
23:10:10.337520,-5,0,-10,-8,3,-1,1,-2
23:10:10.338647,-3,0,-1,-4,3,0,-1,-2
23:10:10.367617,-8,-6,-1,8,5,0,-5,-5
23:10:10.368793,0,5,36,21,8,-1,-5,-1
23:10:10.374910,0,-1,-1,-4,0,1,-3,2
23:10:10.383167,1,-3,1,-12,-4,0,-2,-2
23:10:10.397331,-4,-7,-27,-24,-11,-2,-1,2
23:10:10.398800,-1,1,-4,-3,-3,-2,0,-2
23:10:10.419830,0,12,18,15,0,-3,-5,-1
23:10:10.421284,2,5,6,0,-5,-5,-2,-1
23:10:10.435108,-3,-4,-5,2,-2,-3,-3,-3
23:10:10.443165,-5,-10,-7,0,5,-3,-4,-3
23:10:10.458455,-3,-5,-12,-3,-8,3,2,2
23:10:10.460530,2,1,7,-1,-4,-3,-4,2
23:10:10.479886,2,9,-3,-16,-6,2,4,4
23:10:10.481344,-6,-6,-1,16,11,-1,-2,-3
23:10:10.494846,3,10,10,23,12,6,2,1
23:10:10.510643,0,-6,-2,3,1,-3,2,2
23:10:10.518920,3,0,6,26,3,-1,2,-2
23:10:10.520439,0,6,26,2,-2,0,-3,1
23:10:10.539807,5,15,17,13,9,11,4,2
23:10:10.541318,-2,-3,5,20,5,2,2,-1
23:10:10.554973,-4,0,10,21,9,1,-6,-2
23:10:10.563127,-1,-4,16,-1,-4,2,-3,1
23:10:10.577386,-2,-2,-7,-3,-8,1,1,1
23:10:10.585596,3,-1,10,13,13,6,-1,1
23:10:10.607351,-6,2,8,-10,-2,-2,-1,-5
23:10:10.608805,-5,-13,-38,-30,-9,-3,-3,1
23:10:10.614929,-3,-1,4,9,0,-2,3,-2
23:10:10.623178,-5,-2,-7,-32,-10,-6,-5,-2
23:10:10.637418,1,-2,0,5,-1,-5,-4,-1
23:10:10.638814,3,4,8,9,6,-3,0,1
23:10:10.660011,2,2,5,10,3,3,1,1
23:10:10.661418,-6,-10,-14,-6,-7,-2,-6,-3
23:10:10.674919,-1,2,-9,-28,-11,-6,-2,0
23:10:10.683031,-2,-4,8,0,-9,-3,-1,0
23:10:10.704884,5,18,20,17,1,2,4,4
23:10:10.706231,-5,-1,-8,-7,-2,0,-3,-4
23:10:10.719873,-1,6,-4,1,-1,-1,0,1
23:10:10.721301,-2,-1,14,9,3,4,1,0
23:10:10.735034,-2,-2,3,5,-1,1,-2,-2
23:10:10.743179,-3,-5,0,8,3,-4,-5,-1
23:10:10.757527,3,8,10,9,5,3,4,2
23:10:10.758778,0,-7,-13,-5,-4,2,-1,-3
23:10:10.779791,4,14,2,-42,-15,-8,-2,0
23:10:10.781357,-5,-9,-8,1,7,1,0,-3
23:10:10.794925,-4,-8,-18,-16,-7,-6,0,4
23:10:10.803084,-2,4,19,22,10,3,-3,-4
23:10:10.819466,2,5,11,5,-1,-2,2,-1
23:10:10.820860,-3,-1,0,-6,-5,-1,-3,-2
23:10:10.839801,-5,-5,-4,2,11,3,0,-3
23:10:10.841337,-1,-7,-16,-4,1,-1,-1,0
23:10:10.855022,-2,0,-6,-9,-3,0,0,-1
23:10:10.870549,-1,-7,6,16,7,0,-1,0
23:10:10.877387,-1,4,5,9,1,0,1,2
23:10:10.878776,-1,0,1,-1,5,-1,-4,-7
23:10:10.899991,-2,-4,3,13,3,0,1,-1
23:10:10.901429,0,-4,2,-3,-3,0,-1,-3
23:10:10.914933,0,0,-3,-1,-3,-3,-3,0
23:10:10.923140,-3,-4,-11,-5,-8,-1,-2,-1
23:10:10.937547,6,6,5,7,1,4,4,4
23:10:10.938916,1,-4,-7,-4,-6,-2,1,-1
23:10:10.959801,-3,-4,-12,-1,0,0,1,-3
23:10:10.961225,-3,-3,2,-5,-4,-5,0,0
23:10:10.982456,-2,-1,8,10,3,0,-1,-3
23:10:10.983818,2,4,12,15,7,4,1,2
23:10:10.997358,2,1,-4,-3,-6,0,0,2
23:10:10.998802,-3,-8,-7,-7,-7,1,-1,-1
23:10:11.020136,-3,1,20,8,5,-1,-1,-3
23:10:11.028226,4,-7,-22,-6,-3,-2,2,-3
23:10:11.042401,1,3,-2,0,-1,2,0,1
23:10:11.043816,-3,-5,-8,-9,-6,-7,-3,-5
23:10:11.057510,-3,-3,-6,-5,1,1,2,-1
23:10:11.058827,0,0,7,5,-5,1,-3,4
23:10:11.079931,-2,0,-2,-1,1,-3,-4,-2
23:10:11.088140,-1,-2,1,0,3,0,-1,0
23:10:11.102302,-2,4,-3,-1,-5,-6,-1,-5
23:10:11.103832,-7,-6,-8,-12,-6,-5,-6,-6
23:10:11.117478,-1,-1,-16,-33,-21,-13,-6,-1
23:10:11.118741,0,-8,-4,8,2,-3,-3,1
23:10:11.139979,2,-3,-11,-9,5,2,2,1
23:10:11.141260,3,2,6,14,6,2,-5,-1
23:10:11.162233,-1,4,-1,-6,3,1,-1,-4
23:10:11.163727,-7,-10,-7,0,-5,0,0,0
23:10:11.177485,-2,-1,-1,2,1,-2,-3,-2
23:10:11.178867,-1,-3,-5,-1,-4,0,-3,1
23:10:11.199806,-2,0,1,8,0,-2,-1,-2
23:10:11.201284,-3,-6,-8,-12,-9,-4,-7,-4
23:10:11.222383,-3,-3,4,3,1,1,1,-2
23:10:11.223648,-4,-2,-1,-9,-10,0,-2,3
23:10:11.237409,0,-1,1,-2,2,4,2,2
23:10:11.244901,-3,-11,-12,-7,1,-2,0,-2
23:10:11.259821,-2,-5,0,1,-1,-2,-1,-4
23:10:11.261330,-1,-7,-15,-5,3,-1,1,-3
23:10:11.282422,0,0,1,5,-3,0,-1,0
23:10:11.283732,0,1,2,11,12,2,-3,-1
23:10:11.297628,-3,-5,-17,-20,-13,-3,0,0
23:10:11.305619,-5,-4,-3,-5,4,1,0,3
23:10:11.319831,-3,-6,-3,1,1,1,0,-2
23:10:11.321382,1,8,3,3,2,3,0,0
23:10:11.342218,-2,-3,-1,0,10,2,-2,-5
23:10:11.343761,0,-1,1,3,-2,-4,-2,-3
23:10:11.357844,4,8,22,19,-3,4,4,3
23:10:11.365554,4,7,25,26,8,1,1,0
23:10:11.379830,0,1,-3,7,11,4,-3,-1
23:10:11.381282,-4,0,11,8,4,1,0,-1
23:10:11.402231,1,2,-4,3,4,1,0,-2
23:10:11.403794,0,6,2,-7,1,0,0,-4
23:10:11.417505,-3,-2,-12,-31,-13,-4,-1,-2
23:10:11.425549,0,1,-3,-10,-7,0,0,-1
23:10:11.439970,-1,4,-5,-7,5,-1,-1,1
23:10:11.441319,2,4,3,6,1,-4,-2,-2
23:10:11.462257,2,3,5,11,7,1,1,-1
23:10:11.463821,-2,-3,-2,4,-8,-5,-5,-5
23:10:11.477824,1,6,2,-4,1,3,2,1
23:10:11.485676,-4,-2,1,-9,-8,-1,-1,-3
23:10:11.499896,1,-1,-2,-3,5,0,-1,-3
23:10:11.501322,-3,-3,-6,-5,-10,-5,-3,-3
23:10:11.522406,-1,2,-6,-31,-21,-7,0,-2
