timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
22:40:33.987595,-1,-2,10,5,3,-1,-4,3
22:40:33.988849,-2,-5,-31,-26,-7,-1,-4,-1
22:40:34.002725,1,0,6,5,-2,-2,-1,1
22:40:34.010063,-1,0,5,-1,0,1,0,-3
22:40:34.024902,-2,-3,2,30,4,-1,-1,0
22:40:34.032454,-2,0,-1,-2,1,1,-1,-1
22:40:34.047702,2,0,2,5,1,0,3,1
22:40:34.049187,-1,3,10,16,0,-2,-3,-4
22:40:34.062388,1,-2,-22,-11,-1,0,1,1
22:40:34.077477,-1,2,6,4,0,0,-2,-3
22:40:34.084815,-2,1,4,4,1,-3,-1,-2
22:40:34.092372,-5,-3,3,-1,-2,-2,-2,-5
22:40:34.107407,-1,1,-8,-4,-4,0,0,-1
22:40:34.109489,0,-1,3,9,2,-2,1,-1
22:40:34.122388,-1,-1,-16,-12,-3,-1,-2,-3
22:40:34.129849,0,2,1,12,-1,1,4,0
22:40:34.144756,-2,1,-9,-1,4,-3,0,-3
22:40:34.152435,-3,-7,-5,-27,-7,-2,-5,-5
22:40:34.167185,-2,3,6,1,2,0,-1,-2
22:40:34.168787,-2,-2,7,6,0,-1,2,-1
22:40:34.182393,0,0,3,2,0,1,1,0
22:40:34.189884,0,0,10,9,1,-3,-2,-3
22:40:34.204742,-1,-3,-13,-37,-7,0,0,-1
22:40:34.219914,0,3,11,15,1,1,1,-2
22:40:34.227235,1,1,-3,-27,-4,0,-1,-2
22:40:34.228809,-4,2,-9,6,1,2,0,-3
22:40:34.242511,-2,-8,-8,14,2,-1,-2,-4
22:40:34.250601,-1,2,5,2,-1,3,1,0
22:40:34.264972,-1,6,21,3,0,1,-1,-1
22:40:34.272666,-1,-6,-22,0,-4,0,-3,-4
22:40:34.287420,2,1,9,14,2,2,1,1
22:40:34.295073,-3,-1,-4,-4,0,1,0,2
22:40:34.302454,-1,1,6,7,4,2,-4,-3
22:40:34.310105,1,-2,-2,7,-1,0,1,3
22:40:34.324906,1,-2,5,6,-1,2,1,0
22:40:34.332652,0,-2,1,0,1,0,2,1
22:40:34.347433,-2,0,0,0,3,-1,-1,-1
22:40:34.355671,0,1,-3,0,-3,0,1,-1
22:40:34.362304,1,3,14,4,-2,0,2,-1
22:40:34.369993,-4,2,-16,8,-1,-3,-1,-3
22:40:34.384882,3,0,5,22,3,3,4,2
22:40:34.392588,-4,3,-10,-17,-4,-3,-2,-2
22:40:34.408164,-3,-7,-10,45,-4,-6,-5,-5
22:40:34.409531,0,-2,-3,5,3,6,5,6
22:40:34.422555,-1,2,11,12,4,2,-3,-4
22:40:34.430734,-2,-2,-10,-20,-10,-4,-4,0
22:40:34.444822,-2,-6,-9,2,1,0,-4,-1
22:40:34.452561,-1,3,4,-24,-4,-1,-1,-2
22:40:34.474940,-1,-7,-23,5,-2,-6,1,-2
22:40:34.476334,3,-8,2,-1,-4,-3,2,-1
22:40:34.482475,3,7,17,-16,6,4,2,-3
22:40:34.497571,0,-6,-24,-22,-6,-4,-1,-7
22:40:34.504751,1,5,15,16,2,0,0,-3
22:40:34.520112,-2,-1,29,11,5,1,1,-6
22:40:34.527386,3,2,2,-20,-11,-3,-2,-3
22:40:34.528858,0,3,-1,11,0,0,-3,-3
22:40:34.542520,-4,-11,-8,-4,3,-7,-9,-7
22:40:34.550696,0,-4,-13,-29,-7,-1,6,-1
22:40:34.572608,0,4,10,10,8,0,-7,-3
22:40:34.573801,3,4,3,2,6,3,1,2
22:40:34.587479,-2,-3,-18,-17,-7,-1,3,-1
22:40:34.588820,1,5,7,6,3,-1,-2,-2
