timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
19:44:09.709183,1,0,-4,-1,-3,-2,-3,-1
19:44:09.717275,-1,-2,-2,0,-2,-4,-2,-4
19:44:09.731544,2,5,-1,-2,-1,-1,0,1
19:44:09.739717,-1,-3,-2,-2,3,2,1,-1
19:44:09.753884,2,-3,2,-1,-4,-3,0,2
19:44:09.755551,3,0,-1,-1,-4,-2,2,0
19:44:09.769049,0,-1,2,-1,-1,0,-2,-1
19:44:09.777069,-5,-3,-1,-1,2,-3,0,-2
19:44:09.791484,-1,-3,-2,-5,-2,-2,-3,-3
19:44:09.799666,2,-4,-4,0,2,-2,-1,1
19:44:09.813932,1,0,1,0,-1,-2,-1,-2
19:44:09.815310,-3,-2,-2,-3,0,0,0,3
19:44:09.828979,-3,-2,-1,-1,-1,0,-1,0
19:44:09.837083,-2,-2,-2,-3,-2,1,-1,-3
19:44:09.858950,0,-3,-3,-1,-2,0,0,0
19:44:09.860229,-3,-2,1,-2,3,-3,-1,0
19:44:09.873811,0,1,2,0,1,0,1,1
19:44:09.875268,-3,1,-2,3,1,1,0,1
19:44:09.888887,0,1,-3,1,0,0,-1,-1
19:44:09.897071,-2,-4,-1,0,1,-1,-1,0
19:44:09.911532,-4,-1,0,-2,-2,0,3,0
19:44:09.919933,-3,-1,-2,-1,2,-1,3,-1
19:44:09.934019,0,0,-1,-1,-1,0,-5,-1
19:44:09.935315,-3,-6,1,1,3,1,-4,2
19:44:09.948907,-4,0,-1,-2,1,-2,1,-1
19:44:09.957056,-3,-2,-1,-4,1,-2,0,2
19:44:09.971472,1,0,-2,2,-2,0,-2,-2
19:44:09.979672,2,-1,-1,2,0,-1,0,3
19:44:09.994059,1,-2,-1,0,-2,1,-2,0
19:44:10.002140,-3,-1,2,-1,1,-1,0,2
19:44:10.008944,-1,1,0,1,0,2,-1,0
19:44:10.017077,-1,-1,-3,-4,0,-1,-1,-2
19:44:10.031400,0,-1,-1,0,0,-5,0,-1
19:44:10.039556,-4,-1,-3,-1,0,1,2,1
19:44:10.053746,1,0,-1,-1,-3,-3,2,-1
19:44:10.061385,0,1,0,2,2,-1,0,-3
19:44:10.068888,-2,-3,0,0,1,1,1,2
19:44:10.077287,-2,-2,0,-1,0,1,2,-1
19:44:10.091652,1,-3,-3,-2,-3,-2,-1,-2
19:44:10.099561,-1,-2,-1,-1,1,2,-1,1
19:44:10.113699,-1,-4,-4,-3,-4,0,0,0
19:44:10.121376,-1,-1,-1,2,2,1,1,2
19:44:10.136168,0,1,-3,0,-3,0,1,-1
19:44:10.137697,0,-2,-1,-1,-1,0,0,0
19:44:10.151353,-1,0,-1,2,1,-2,0,3
19:44:10.159626,0,-3,-3,-2,1,0,1,0
19:44:10.173799,2,2,-3,-3,2,-2,0,-3
19:44:10.181382,-3,-4,-3,-2,-2,0,-2,-1
19:44:10.196264,-1,-1,0,2,2,1,0,0
19:44:10.203868,-3,-5,2,0,-1,0,-4,1
19:44:10.211377,-3,-1,0,-2,-2,0,2,-4
19:44:10.219545,-3,0,0,-1,-1,0,-2,-1
19:44:10.233878,1,-3,-3,-4,-1,-2,1,-3
19:44:10.241687,-2,-1,0,-2,1,-3,0,0
19:44:10.256278,-2,-3,0,-1,-3,-3,0,1
19:44:10.257738,-3,-2,-1,0,0,-2,-3,1
19:44:10.271404,-1,-2,-5,-3,1,-1,-1,-2
19:44:10.279649,-1,-2,-2,-1,1,0,-1,0
19:44:10.293663,-2,0,0,2,4,1,0,0
19:44:10.301309,-2,1,-2,-12,-2,0,0,1
19:44:10.316350,0,-4,-1,-1,-1,-2,-1,0
19:44:10.317717,-1,-3,1,0,2,1,2,-1
19:44:10.331409,0,-3,-1,-1,1,0,-1,1
19:44:10.339581,-1,-2,0,-1,-1,2,1,0
19:44:10.353695,1,-4,-1,-1,-1,1,-2,-3
19:44:10.361369,-2,-3,-2,-2,1,-3,2,1
19:44:10.376311,2,-2,2,3,-1,-1,3,-3
19:44:10.377734,-3,-3,0,0,-2,1,-5,-1
19:44:10.398884,-1,0,2,8,3,-1,2,3
19:44:10.400259,-1,0,1,-3,2,4,1,2
19:44:10.421312,-1,-6,-7,-9,6,-2,-5,-4
19:44:10.422784,-1,-3,0,2,-4,1,0,4
19:44:10.436273,3,4,4,-6,-4,-2,2,3
19:44:10.437679,-4,-4,0,2,-1,1,-2,-4
19:44:10.451416,-1,0,-3,-2,5,3,-2,-1
19:44:10.459560,1,-2,0,3,0,-3,1,1
19:44:10.473920,-1,4,-2,-18,-24,1,-1,0
19:44:10.481387,4,-2,-4,-5,-8,-7,2,0
19:44:10.496259,0,4,5,2,-4,-1,-4,2
19:44:10.497768,-1,-3,0,7,-1,0,2,-2
