timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
19:52:12.718011,0.34009,-0.41528,0.74634,-11.74046,-47.77099,-13.14504
19:52:12.726250,0.34839,-0.41431,0.74585,-12.0458,-47.78626,-13.20611
19:52:12.736173,0.35303,-0.42163,0.75293,-12.12214,-47.57252,-13.00763
19:52:12.746613,0.35986,-0.42334,0.75024,-11.23664,-47.49618,-12.90076
19:52:12.756194,0.36768,-0.42773,0.74048,-10.47328,-47.14504,-12.8855
19:52:12.766426,0.38086,-0.43042,0.72803,-10.51908,-46.9313,-12.38168
19:52:12.776339,0.39453,-0.43066,0.72632,-10.76336,-46.85496,-12.35114
19:52:12.786408,0.3999,-0.42505,0.72925,-10.53435,-46.80916,-12.0
19:52:12.796252,0.41187,-0.42041,0.72534,-10.33588,-46.39695,-11.9542
19:52:12.806224,0.41968,-0.42603,0.72656,-9.63359,-46.36641,-11.96947
19:52:12.816148,0.42651,-0.42114,0.71484,-9.48092,-46.01527,-11.41985
19:52:12.826451,0.43188,-0.41724,0.70752,-9.83206,-45.9542,-11.26718
19:52:12.836739,0.44067,-0.41992,0.68994,-10.74809,-45.64885,-10.73282
19:52:12.846620,0.45215,-0.41846,0.69238,-11.29771,-45.23664,-10.27481
19:52:12.856057,0.46338,-0.41748,0.68066,-11.52672,-44.85496,-9.8626
19:52:12.866217,0.46094,-0.41772,0.69043,-12.03053,-44.19847,-9.81679
19:52:12.876244,0.46973,-0.41626,0.68457,-11.78626,-43.58779,-10.15267
19:52:12.886343,0.48096,-0.42065,0.67383,-11.05344,-43.12977,-10.21374
19:52:12.896353,0.48315,-0.43164,0.67334,-10.71756,-43.0687,-9.75572
19:52:12.906124,0.49097,-0.4187,0.66138,-10.61069,-42.76336,-9.09924
19:52:12.916304,0.50659,-0.41895,0.67041,-10.45802,-42.39695,-9.03817
19:52:12.926159,0.51343,-0.41138,0.65942,-10.38168,-41.63359,-8.25954
19:52:12.936331,0.521,-0.42627,0.66748,-10.50382,-41.25191,-8.06107
19:52:12.946248,0.51514,-0.4209,0.66284,-9.54198,-41.28244,-8.03053
19:52:12.956306,0.52661,-0.42407,0.65039,-8.61069,-40.9771,-7.58779
19:52:12.966154,0.53955,-0.42285,0.64014,-8.41221,-40.48855,-6.87023
19:52:12.976404,0.54858,-0.4231,0.64111,-8.83969,-40.25954,-6.83969
19:52:12.986113,0.55054,-0.42041,0.65063,-9.14504,-39.66412,-6.87023
19:52:12.996260,0.55469,-0.42896,0.64307,-8.85496,-39.34351,-6.74809
19:52:13.006189,0.55737,-0.43115,0.63525,-8.12214,-39.03817,-6.79389
19:52:13.016748,0.56323,-0.43823,0.6272,-7.38931,-38.99237,-6.61069
19:52:13.026163,0.5647,-0.43237,0.63379,-7.25191,-38.83969,-6.27481
19:52:13.036163,0.573,-0.42529,0.63184,-7.34351,-38.90076,-5.75573
19:52:13.046389,0.57495,-0.42798,0.63428,-7.1145,-38.80916,-5.69466
19:52:13.056390,0.5835,-0.42261,0.61401,-7.00763,-38.96183,-5.60305
19:52:13.066410,0.59082,-0.42407,0.61963,-7.78626,-38.83969,-5.55725
19:52:13.076417,0.58984,-0.42749,0.63013,-8.24428,-38.87023,-5.93893
19:52:13.086300,0.59082,-0.42773,0.61597,-8.01527,-38.56488,-5.45038
19:52:13.096068,0.59741,-0.43896,0.59985,-7.25191,-38.70229,-5.16031
19:52:13.106283,0.60376,-0.43213,0.59692,-6.91603,-38.59542,-5.23664
19:52:13.116304,0.60962,-0.42578,0.59326,-7.43511,-38.33588,-5.12977
19:52:13.126234,0.61499,-0.42334,0.5896,-8.33588,-38.15267,-5.22137
19:52:13.136706,0.6167,-0.43164,0.59058,-9.22137,-37.8168,-5.35878
19:52:13.146217,0.62329,-0.42725,0.58789,-9.08397,-37.55725,-4.96183
19:52:13.155992,0.63452,-0.4187,0.55811,-9.32824,-37.43512,-4.68702
