timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
20:12:24.808287,-3,-2,-11,-19,-3,-1,-3,-4
20:12:24.809533,-3,-4,-3,3,-1,-6,-1,-4
20:12:24.823284,6,4,18,3,2,0,4,6
20:12:24.831369,0,1,5,-2,-3,-2,0,3
20:12:24.853166,-3,0,10,7,0,-1,-1,1
20:12:24.854548,-3,-2,-21,-12,-4,0,0,-1
20:12:24.867888,-4,-3,-3,-2,-7,-4,-3,-3
20:12:24.869293,0,-2,-7,-8,-1,0,-2,1
20:12:24.883013,4,7,13,12,0,-2,2,-1
20:12:24.891157,-4,-2,-5,1,0,1,0,1
20:12:24.905290,-6,-6,-6,-7,-7,-4,0,-3
20:12:24.912989,2,-2,1,0,4,1,-1,3
20:12:24.927787,-2,-4,1,1,-2,-2,-2,1
20:12:24.929210,-2,-5,-2,-1,-5,2,-3,-1
20:12:24.942963,-6,-2,3,1,-2,-1,-4,-7
20:12:24.951074,-1,-1,-11,-13,-4,-2,-1,2
20:12:24.965243,-1,1,11,6,-1,0,0,1
20:12:24.972965,-1,5,22,17,4,4,1,2
20:12:24.987905,0,-5,-23,-19,-5,1,-1,2
20:12:24.989287,-2,2,0,3,0,0,-3,-4
20:12:25.002970,0,-5,-11,-21,-4,0,1,1
20:12:25.011137,-3,0,-6,5,-1,1,-2,1
20:12:25.025263,0,2,-11,-7,0,3,5,4
20:12:25.033599,3,2,-1,7,3,4,2,3
20:12:25.047781,1,1,11,-2,-4,-3,-2,-1
20:12:25.049302,0,-4,-8,-4,-2,0,3,2
20:12:25.062889,3,1,-8,-17,-5,0,0,-2
20:12:25.071062,-2,-3,0,6,1,-2,-6,-3
20:12:25.085278,-4,-6,-15,-12,-2,-2,1,-2
20:12:25.092823,-1,-1,23,9,0,0,3,-2
20:12:25.107720,-5,-4,-14,-17,-8,-3,-3,-3
20:12:25.109330,5,5,13,-2,5,6,4,4
20:12:25.122909,-5,-9,-13,-12,-4,0,0,-5
20:12:25.131165,5,7,18,2,-2,-1,-3,1
20:12:25.145402,-1,-3,-10,-15,-9,-3,-1,-2
20:12:25.152883,2,7,23,12,6,0,-2,2
20:12:25.167791,-7,-12,-29,-20,-8,-5,-3,-1
20:12:25.169306,-3,-1,-18,-8,2,2,-4,0
20:12:25.182925,-2,-3,16,6,-8,-6,0,-1
20:12:25.191102,6,8,-1,16,25,11,0,-2
20:12:25.205286,-6,-9,-10,-7,-16,-15,-9,-8
20:12:25.212896,-7,-11,-13,-8,-7,-3,0,0
20:12:25.227765,4,5,12,6,5,3,0,2
20:12:25.229232,-4,-7,-48,-20,1,-1,-3,-5
20:12:25.242881,-5,-3,11,3,1,-4,-5,-1
20:12:25.251149,-5,4,3,23,17,-3,-7,-7
20:12:25.265341,-7,-13,-22,-24,-13,-6,-4,-3
20:12:25.272968,-8,-9,-9,1,-4,-5,-5,-7
20:12:25.287747,0,2,7,2,1,6,5,5
20:12:25.289208,-7,-9,-15,0,-12,-7,-4,-7
20:12:25.310322,3,6,11,17,13,5,0,3
20:12:25.311742,-9,-9,-8,2,2,-7,-6,-8
20:12:25.325393,-4,-10,-19,-4,-2,2,-4,0
20:12:25.333708,-9,-3,-4,0,-7,-10,-10,-9
20:12:25.347798,0,-1,-3,-10,-3,1,1,3
20:12:25.355400,-2,-5,-8,-3,-1,1,-2,1
20:12:25.362909,3,5,15,10,-5,-1,-1,-2
20:12:25.371173,-4,-8,-25,-1,8,2,1,-1
20:12:25.385284,-6,1,6,1,-5,-2,0,-3
20:12:25.392880,-4,0,2,5,6,-1,-6,-3
20:12:25.415314,-5,-12,-12,-25,-19,-8,-3,-5
20:12:25.416751,15,19,24,26,16,17,14,18
20:12:25.422877,-7,-7,-2,0,-10,-6,-5,-4
20:12:25.431058,-2,-4,-27,-11,6,5,-1,1
20:12:25.445279,-5,-3,7,3,-4,-4,-1,-4
20:12:25.452893,-4,0,-14,2,5,2,-1,-2
20:12:25.467832,-5,-9,-13,2,-4,-6,-7,-6
20:12:25.475512,1,4,15,2,5,8,6,5
20:12:25.490490,1,9,8,12,1,-5,-1,0
20:12:25.491774,1,1,14,-17,-8,6,7,5
20:12:25.512738,1,6,16,6,-3,0,-2,-1
20:12:25.514236,-5,-8,-7,-1,-3,-1,-1,-4
20:12:25.527815,-4,0,-4,-4,0,-1,3,2
20:12:25.535528,-3,5,14,-1,-3,-4,-4,-3
20:12:25.557829,-8,-5,-17,-12,-6,-4,-6,-4
20:12:25.559319,1,0,-2,3,4,-1,-5,2
20:12:25.565248,-1,-5,-3,-7,-4,-5,2,-1
20:12:25.573544,-3,2,19,17,-1,-1,0,0
20:12:25.588258,-1,-7,-54,-35,-1,1,-2,-1
20:12:25.595404,-3,-3,-3,5,3,1,-3,-1
20:12:25.610258,-5,-3,11,5,-5,-6,-2,-3
20:12:25.618648,5,4,-4,3,0,-1,-1,2
20:12:25.625182,1,-8,-3,-10,2,2,4,1
20:12:25.633035,-1,6,2,-13,-2,1,1,1
20:12:25.647799,-3,-5,6,12,5,-3,0,-4
20:12:25.655399,2,1,2,0,2,2,-1,4
20:12:25.677798,-7,-14,-26,-6,-17,-6,-12,-12
20:12:25.679237,0,0,-3,-6,2,-1,2,-2
20:12:25.685201,-9,-10,-2,0,-15,-9,-8,-10
20:12:25.693142,8,3,-8,-2,9,10,4,11
20:12:25.707734,-1,-2,8,3,-8,-3,2,-1
20:12:25.715410,0,5,6,20,9,2,-4,1
20:12:25.730248,-5,-8,-13,-11,-6,-4,-2,-3
20:12:25.731750,-6,-3,6,17,8,-5,-6,-9
20:12:25.745289,-4,-6,-8,-6,2,-4,-5,-1
20:12:25.752860,-3,-6,-3,-7,-6,-2,-2,-3
20:12:25.767766,-2,-1,-3,9,1,-1,-3,0
20:12:25.775418,-5,-7,-18,-7,-4,-3,-3,1
20:12:25.790259,7,7,-8,1,8,9,5,5
20:12:25.791779,-2,1,2,-3,3,3,2,1
20:12:25.805212,-2,-4,-2,3,-7,-8,-8,-3
20:12:25.813678,-2,-5,-10,-2,4,4,-3,3
20:12:25.827940,-5,-6,-17,-17,-10,-8,-4,-7
20:12:25.835508,1,7,0,-9,-8,0,1,3
20:12:25.857929,3,2,15,13,12,10,4,-1
20:12:25.859289,-1,-3,-8,-10,-12,-10,-1,-4
20:12:25.865162,4,3,4,-1,4,4,2,0
20:12:25.872910,-5,-7,3,-19,-17,-15,-8,-1
20:12:25.887744,8,5,13,5,8,8,9,8
20:12:25.895403,-5,-9,-3,-1,-7,-4,-4,-7
20:12:25.910270,-5,-3,2,-1,5,-1,-1,-1
20:12:25.911759,-5,-1,4,-8,-15,-7,-6,-4
20:12:25.925250,6,5,9,6,5,13,10,6
20:12:25.932883,-2,1,14,1,-6,-8,-7,-6
20:12:25.947748,0,-3,-18,-23,-3,-1,5,5
20:12:25.955387,-1,6,6,13,9,4,0,-3
20:12:25.970282,-2,-3,-18,-5,0,-1,-6,-4
20:12:25.971752,-5,-7,4,-1,-9,-7,-5,-6
20:12:25.985560,0,4,-2,1,2,0,3,2
20:12:25.993617,4,-2,2,0,-1,1,-1,1
20:12:26.007771,-2,-7,-31,-20,-5,3,-1,-1
20:12:26.015388,-1,1,25,7,-5,-4,-3,-1
20:12:26.030300,1,-4,-15,11,9,3,1,-2
20:12:26.031785,-5,-3,-7,-13,-11,-7,-6,-7
20:12:26.045406,-2,-4,-15,-6,-9,-1,1,-1
20:12:26.053479,4,2,6,8,4,4,0,2
20:12:26.067770,-6,-6,-11,-5,-2,-2,0,-3
20:12:26.075422,1,5,10,6,-2,-2,1,3
20:12:26.090470,-5,-5,-5,-7,-1,-1,-1,-3
20:12:26.091799,-8,-7,-14,-21,-26,-12,-5,-2
20:12:26.105456,8,17,25,14,11,8,9,6
20:12:26.113599,-10,-10,-11,3,-7,-10,-8,-10
