timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
18:23:18.440421,1,-1,-3,-2,0,1,3,1
18:23:18.448706,-1,-5,-10,29,-7,-4,-5,-4
18:23:18.463294,1,1,4,10,1,1,1,1
18:23:18.471013,-1,-3,1,10,7,2,-1,3
18:23:18.485278,-1,1,0,3,0,-3,-2,-4
18:23:18.486683,-3,-2,-2,-1,1,1,-3,1
18:23:18.500430,-4,-3,-9,-14,-8,-4,-4,0
18:23:18.508566,-2,-1,2,2,0,1,-2,2
18:23:18.522889,-1,2,3,8,-3,1,3,1
18:23:18.530978,-4,-6,-13,-39,-7,-3,-7,-2
18:23:18.545124,0,1,-3,-29,-8,-1,0,-5
18:23:18.546717,-3,-2,-17,-87,-10,-2,-2,-2
18:23:18.560361,0,1,4,10,0,-2,0,-3
18:23:18.568557,-2,-1,3,6,1,4,3,1
18:23:18.582824,-2,-6,0,-5,-1,-2,-3,-4
18:23:18.591009,0,-3,-10,-48,-13,-1,0,-3
18:23:18.605112,-1,-2,4,48,20,1,1,0
18:23:18.606634,1,4,1,11,-8,1,1,2
18:23:18.620271,0,-2,-5,-24,3,2,0,0
18:23:18.628653,-2,-4,-2,19,9,1,0,0
18:23:18.642990,1,2,1,10,-4,-3,0,4
18:23:18.650876,-5,-2,-5,-1,5,1,0,0
18:23:18.665127,-3,-2,2,36,12,3,-2,0
18:23:18.666669,-3,-2,-10,-43,-22,-5,1,3
18:23:18.680310,1,-1,-1,-6,1,3,2,-2
18:23:18.695951,2,-1,-1,-2,6,0,1,2
18:23:18.702772,-4,0,-3,-2,-8,-6,-1,3
18:23:18.711026,-2,1,-7,12,3,-2,-1,1
18:23:18.725185,2,-1,-1,-12,-6,1,1,-4
18:23:18.726887,-1,0,1,7,3,4,3,-1
18:23:18.740391,-1,-1,8,14,6,-2,2,1
18:23:18.748612,-5,-5,0,4,1,-1,0,1
18:23:18.762776,1,-1,-3,-19,-12,-3,0,-1
18:23:18.770932,2,1,11,15,5,-1,2,-1
18:23:18.785109,-3,-5,-11,-30,-27,-9,-1,0
18:23:18.786594,2,0,1,-1,-2,-2,-1,-2
18:23:18.800302,4,1,8,11,11,1,4,4
18:23:18.808549,-1,-2,-19,-110,-25,-8,-3,-2
18:23:18.822680,-2,4,7,1,1,-2,-2,1
18:23:18.830269,-1,1,-1,18,33,5,1,-1
18:23:18.845088,-2,-6,-23,-53,-22,-12,-8,-8
18:23:18.846692,-3,1,13,41,23,6,3,2
18:23:18.860263,-5,-3,-14,-51,-12,-5,-3,1
18:23:18.868571,2,-1,1,12,6,4,1,4
18:23:18.882682,-4,0,5,57,21,2,-2,1
18:23:18.897789,2,-1,0,7,-1,1,2,-1
18:23:18.905094,-1,-1,12,-17,-19,-4,0,-3
18:23:18.906614,-4,-2,-9,-8,-1,-2,2,0
18:23:18.920552,-4,-3,25,15,-15,-7,-3,0
18:23:18.928609,1,1,4,-6,-4,1,6,6
18:23:18.942978,2,-3,-11,-30,-17,-4,0,2
