timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
19:28:53.693539,-1,0,-3,-26,-3,0,-1,-7
19:28:53.708557,3,0,2,-12,-3,2,0,4
19:28:53.730836,-4,0,1,21,11,3,0,-4
19:28:53.746055,5,2,2,-29,-23,-6,-2,5
19:28:53.753022,-6,-4,-5,20,-1,5,-1,-8
19:28:53.775860,-4,0,-1,-4,-4,10,-2,-19
19:28:53.790498,7,3,1,9,6,2,14,24
19:28:53.797961,-5,-3,-3,32,7,4,5,-5
19:28:53.805540,-2,-1,-9,-8,0,-3,0,1
19:28:53.820833,2,-1,7,0,8,6,0,-3
19:28:53.828493,-5,-4,2,0,-6,-8,0,-4
19:28:53.835468,-3,-1,-12,-32,-8,-2,-3,-7
19:28:53.842990,3,-3,-16,-9,-9,-2,-3,5
19:28:53.858360,2,4,11,29,5,5,-3,-10
19:28:53.865817,-3,2,10,11,8,-5,2,11
19:28:53.872982,-3,-9,-28,-45,-31,-3,-4,-14
19:28:53.888060,-2,1,1,-9,1,-15,-5,-4
19:28:53.895481,-1,3,15,9,2,6,-6,-11
19:28:53.903097,-4,-3,-30,-18,-8,-24,-8,-6
19:28:53.918142,-2,-5,-9,-4,4,3,-2,-7
19:28:53.925713,-2,4,7,16,6,-5,0,-4
19:28:53.933016,2,-8,0,23,14,2,5,-2
19:28:53.948092,-1,2,4,15,6,2,1,-3
19:28:53.955856,-2,-1,-9,-22,-11,3,-5,-13
19:28:53.963193,-6,-6,7,17,10,-2,9,8
19:28:53.978055,-1,-3,-16,-49,-6,2,-3,-6
19:28:53.985331,2,2,8,13,6,-5,-1,-1
19:28:53.993009,-5,0,6,28,7,4,2,-1
19:28:54.007859,-1,-9,-33,-99,-25,-5,-1,6
19:28:54.015485,1,5,-10,9,7,8,-3,-7
19:28:54.023034,0,6,12,-10,-8,-5,-1,16
19:28:54.038001,-3,-4,-17,-20,1,-3,-8,-13
19:28:54.045333,3,2,12,8,5,-1,11,11
19:28:54.053021,5,-2,1,-20,-1,1,-6,1
19:28:54.067850,-1,2,-4,11,0,-17,7,20
19:28:54.075523,-3,-3,0,-1,3,5,-2,-10
19:28:54.090229,-2,1,-2,8,1,-2,0,11
19:28:54.098051,0,-1,-9,-1,3,2,-1,-5
19:28:54.105335,-3,0,-8,-24,-8,-4,4,9
19:28:54.120464,-6,-3,21,7,5,2,-5,-1
19:28:54.127870,0,-4,-11,-43,-5,-4,12,20
19:28:54.135429,0,2,5,-8,0,5,-4,-12
19:28:54.143023,-2,-1,2,17,-5,-11,2,14
19:28:54.158016,-1,1,18,39,15,6,1,-2
19:28:54.165285,-1,-1,-18,-40,0,-4,-2,2
19:28:54.172995,-3,-5,-25,-32,-2,-1,-1,2
19:28:54.195360,2,3,32,35,7,-5,-2,11
19:28:54.196849,-4,-4,-21,-89,-29,-2,-3,-7
19:28:54.210491,4,2,10,27,12,7,13,15
19:28:54.225302,-1,0,3,-14,-1,2,-3,-6
19:28:54.226817,-3,-3,1,-42,-11,-4,0,5
19:28:54.232930,-4,1,-5,-7,-1,0,-5,-13
19:28:54.248706,2,-4,-20,6,-1,-2,-1,3
19:28:54.255693,-3,0,1,-40,-13,-1,-4,-8
19:28:54.270606,1,5,2,-5,-4,-5,-1,1
19:28:54.277944,-2,-4,-2,15,-6,-2,-3,-6
19:28:54.286140,2,-1,4,-10,1,-1,0,2
19:28:54.292992,0,1,9,57,10,2,-7,4
19:28:54.308669,0,0,-19,-32,-8,-3,3,1
19:28:54.315499,0,0,18,62,12,-25,-17,-12
19:28:54.330484,-3,-3,-26,-38,-9,-3,-1,6
19:28:54.338028,0,-1,-6,-7,0,0,-5,-10
19:28:54.346194,1,-1,0,11,9,-4,3,5
19:28:54.352979,1,6,20,17,-3,2,-2,-2
19:28:54.368683,-1,-1,-11,24,5,3,0,6
19:28:54.375491,-1,-4,-1,-12,-5,2,-1,-8
19:28:54.390484,-5,-3,-27,-31,-12,-11,-3,6
19:28:54.405261,0,1,10,21,11,7,0,-7
19:28:54.406895,-1,-3,-6,-42,-16,4,5,8
19:28:54.412969,2,-1,0,16,-5,-2,0,9
19:28:54.428690,-6,-2,2,-25,-23,-6,-3,0
19:28:54.435490,1,3,4,19,8,8,-4,-13
19:28:54.450491,-1,-1,7,22,6,1,4,-10
19:28:54.458091,-3,-5,-2,-18,-12,-1,-1,-4
19:28:54.466151,-2,-2,1,7,6,2,-6,-9
19:28:54.473021,-1,-2,-35,-87,-26,-11,-5,2
19:28:54.488676,-2,3,9,19,8,2,0,-1
19:28:54.502824,-3,-1,0,11,7,6,0,-3
19:28:54.510493,-2,4,28,22,-11,-6,-2,9
19:28:54.525345,1,-4,-36,-23,3,8,-4,-9
19:28:54.526869,0,3,51,95,20,-4,-3,2
19:28:54.532976,0,-5,-7,-82,-25,7,3,-17
19:28:54.548644,-3,1,14,47,15,1,-3,0
19:28:54.555490,-4,-5,-3,42,9,1,0,-4
19:28:54.570455,-3,5,2,6,1,-2,-1,-9
19:28:54.577982,-3,-4,-11,19,10,2,0,-3
19:28:54.592811,-1,0,-12,-82,-35,-3,2,-1
19:28:54.593674,-2,-2,1,55,2,3,-8,-11
19:28:54.608705,-1,3,16,5,9,7,1,0
19:28:54.615466,-4,0,12,29,16,-3,-8,1
19:28:54.630508,3,0,1,11,3,1,-2,-5
19:28:54.637965,0,3,-22,-42,-15,-2,-8,-5
19:28:54.652804,1,-1,8,3,-3,0,5,-1
19:28:54.653673,1,4,9,-2,8,-2,-2,-10
19:28:54.668687,-1,-6,-20,-32,-5,-3,-1,17
19:28:54.675516,-2,0,0,-71,-20,6,2,-8
19:28:54.690482,-1,-1,-5,57,22,-3,-5,3
19:28:54.698018,-1,-4,-2,-11,-8,4,2,-3
19:28:54.712861,-4,0,18,45,10,-5,-7,-12
19:28:54.713702,-6,0,4,4,5,9,-3,-7
19:28:54.735398,3,0,-8,-19,-2,-3,1,8
19:28:54.736185,0,2,16,43,7,3,-4,-8
19:28:54.750511,0,0,-12,-75,-31,-4,-2,-6
19:28:54.758011,2,7,25,25,3,2,1,-10
19:28:54.772981,5,-5,-7,-48,-3,-4,1,3
19:28:54.780490,-2,-5,-1,-7,-5,-5,-3,-1
19:28:54.795330,5,3,1,6,-7,3,-1,3
19:28:54.796100,3,3,16,99,32,-3,-7,-2
19:28:54.810478,-1,-2,-10,-14,-5,-4,0,1
19:28:54.817988,-3,-5,-1,14,-6,-2,-9,-5
19:28:54.832978,1,-2,15,19,13,2,-1,10
19:28:54.840451,0,-4,-6,-4,-7,-7,0,-5
19:28:54.855971,-1,1,4,-7,-8,-4,0,10
19:28:54.856816,2,-2,3,-7,0,-5,3,-6
19:28:54.870530,-1,1,13,8,3,2,1,-3
19:28:54.878023,1,-1,2,-8,3,-6,1,2
19:28:54.893019,-5,-7,-1,8,-9,1,-1,2
19:28:54.900481,0,1,2,12,-8,-8,-9,-13
19:28:54.931012,1,-3,6,-26,-3,6,4,4
19:28:54.931683,1,-2,-11,66,2,-7,-2,6
19:28:54.933171,-1,1,18,31,19,-2,1,0
19:28:54.938017,-3,-6,-35,-35,-19,-5,-5,-10
19:28:54.952981,-1,-4,11,-17,-5,-10,-1,8
19:28:54.960503,0,1,-7,-63,1,6,-3,-5
19:28:54.975388,-1,-3,8,29,-8,-11,-1,-7
19:28:54.976123,0,-1,2,4,2,5,-3,6
19:28:54.990460,-2,0,13,55,-6,-9,-5,-8
19:28:54.998054,-2,2,23,32,15,2,1,1
19:28:55.013029,0,0,2,-27,-21,-34,-15,-6
19:28:55.027772,1,-7,1,14,3,1,4,0
19:28:55.035270,-1,-1,0,-7,-14,-4,0,10
19:28:55.036148,2,1,7,18,-4,0,0,0
19:28:55.050549,2,4,-4,5,0,-10,3,8
19:28:55.058005,4,3,-5,-7,18,3,-3,-1
19:28:55.073028,-1,-1,5,8,0,0,-4,2
19:28:55.080518,-3,-4,-3,-28,-18,-10,-5,-5
19:28:55.095271,1,1,-1,-8,11,5,7,-1
19:28:55.096077,5,-1,-5,-17,1,2,5,9
19:28:55.110514,-1,4,11,-3,-27,-11,-6,0
19:28:55.117936,4,-6,-10,14,7,2,4,-9
19:28:55.132957,-1,2,6,10,10,5,-3,3
19:28:55.140510,-2,-11,1,-6,-8,-11,-9,-11
19:28:55.155392,0,-2,-8,-5,3,0,-1,3
19:28:55.156170,0,-4,-7,-24,7,4,2,-6
19:28:55.170605,-1,3,-6,-41,-18,0,-1,-6
19:28:55.178008,3,4,32,47,7,2,-9,-9
19:28:55.192956,-1,-3,0,1,-8,-6,0,12
19:28:55.200449,0,-3,14,46,12,5,2,-8
19:28:55.215272,3,4,-4,-24,-6,1,2,-2
19:28:55.216090,5,-1,3,1,-15,-11,-6,13
19:28:55.237857,-4,4,12,9,7,9,2,-4
19:28:55.238650,1,-2,16,-8,-5,-2,0,3
19:28:55.253015,-1,7,-1,-12,-5,1,0,-3
19:28:55.260542,0,0,5,14,13,5,0,0
19:28:55.275327,1,-4,-15,20,13,-5,-3,-5
19:28:55.276137,1,-1,-6,-15,-5,-1,-2,4
19:28:55.290594,4,0,-4,41,7,-18,1,0
19:28:55.297942,1,2,9,15,24,8,-1,-4
19:28:55.313014,-1,0,-1,5,-12,4,-2,-2
19:28:55.328061,3,9,16,53,11,-3,2,-4
19:28:55.342909,-1,-4,-8,-28,9,4,-3,-4
19:28:55.343552,1,5,9,13,7,12,4,-2
19:28:55.358090,2,-3,9,29,7,-5,0,12
19:28:55.358831,1,3,15,1,-5,5,-1,-3
19:28:55.373101,4,4,6,9,1,-1,6,10
19:28:55.380576,0,-6,9,5,-7,-2,-1,3
19:28:55.395390,-1,5,8,-17,0,0,0,-1
19:28:55.396243,0,-10,-19,6,8,3,3,-3
19:28:55.410902,-1,-5,-6,18,-1,3,0,3
19:28:55.418020,1,-7,-29,-11,-12,-1,1,1
19:28:55.433121,-8,-4,-15,36,17,-2,-2,-15
19:28:55.440718,-3,1,24,-12,-6,-22,-8,3
19:28:55.455581,5,-3,4,-32,3,10,9,8
19:28:55.456209,-2,3,2,-19,-9,-1,0,-14
19:28:55.470600,-1,-1,26,29,13,1,-6,-5
19:28:55.478290,-1,-1,-10,37,-8,-5,-7,9
19:28:55.493033,-5,-2,-2,5,4,5,-2,1
19:28:55.500439,-3,1,6,12,0,2,-1,-14
19:28:55.515336,-4,-4,-2,-5,4,-3,-3,4
19:28:55.516142,-4,3,-3,-39,-15,-3,0,-18
19:28:55.530508,1,0,-5,8,-2,11,5,-3
19:28:55.538100,1,-5,-11,-39,-14,-4,-1,2
19:28:55.553835,-2,-1,-6,-40,-15,-2,-5,-4
19:28:55.560439,0,0,6,12,18,10,0,-4
19:28:55.575323,1,3,2,-19,2,2,-4,-9
19:28:55.576190,-3,-4,-24,-32,-1,3,0,2
19:28:55.590552,0,6,20,13,5,1,1,3
19:28:55.598010,-2,-1,-3,10,14,0,1,4
19:28:55.613022,-5,-8,-34,-79,-19,-7,-3,-10
19:28:55.620451,-4,-5,30,22,14,-18,-6,-3
19:28:55.635312,-1,3,1,-22,-27,3,-1,-11
19:28:55.636142,0,-2,11,6,25,14,4,-6
19:28:55.650528,-7,-8,-21,-19,-3,-2,-5,-5
19:28:55.657942,1,-4,-3,-10,3,1,0,0
19:28:55.673056,-1,-1,2,41,4,2,-2,7
19:28:55.680573,-1,-4,-18,12,5,3,6,0
19:28:55.695497,0,-3,17,38,16,3,6,1
19:28:55.702801,3,1,-11,-2,-7,6,6,6
19:28:55.710536,-3,-4,-4,17,-1,6,5,-11
19:28:55.718010,2,-6,10,5,-5,-2,2,16
19:28:55.733001,0,-2,5,12,3,-14,-6,3
19:28:55.740533,0,5,5,-5,5,10,2,1
19:28:55.762857,-4,-8,-20,-51,-16,-9,-3,0
19:28:55.763397,3,5,-5,-10,-6,-8,-3,1
19:28:55.777891,-2,-7,15,89,-15,-7,6,18
19:28:55.778655,-1,2,-4,-8,5,2,1,0
19:28:55.800459,3,1,0,-3,1,11,8,-12
19:28:55.801094,4,-5,-18,-9,0,-4,2,10
19:28:55.815485,-2,-2,1,19,2,-11,-4,6
19:28:55.822777,-3,2,32,11,13,-5,-2,-10
19:28:55.837833,-6,-1,-17,-58,-15,-4,-5,0
19:28:55.838645,3,1,2,13,11,7,3,0
19:28:55.853021,1,-4,12,41,-20,-18,-5,15
19:28:55.860433,-4,-1,-12,0,11,4,-1,1
19:28:55.875565,8,3,10,67,4,-11,0,13
19:28:55.882780,-1,-7,-9,-28,-5,3,-4,-13
19:28:55.898119,2,4,20,6,3,-1,3,-9
19:28:55.898818,-3,-5,-16,-20,-11,-15,-1,-5
19:28:55.913162,1,-3,-5,12,18,11,11,7
19:28:55.920379,1,3,2,0,-19,0,0,-9
19:28:55.935680,2,0,1,9,7,-1,-2,-1
19:28:55.942998,-4,-2,-6,-31,-16,-8,-4,-1
19:28:55.957819,-8,-6,-7,-11,-3,-4,1,0
19:28:55.958722,-1,-4,-6,13,6,5,-1,-5
19:28:55.972995,-10,-4,-15,-94,-35,-6,-10,-14
19:28:55.980483,0,-4,-9,18,22,-1,-6,2
19:28:55.995497,-3,-6,-27,-27,-25,-3,-2,-3
19:28:56.002795,1,-3,2,47,24,7,1,11
19:28:56.017774,-4,3,8,-11,-20,3,-2,-22
19:28:56.018690,2,0,0,-3,3,-35,-19,5
19:28:56.032957,-1,-2,13,3,-15,-8,3,-11
19:28:56.040511,1,1,-9,-26,-2,5,2,9
19:28:56.062835,1,6,44,52,7,1,0,-8
19:28:56.063456,1,4,0,-31,7,5,-3,3
19:28:56.085313,0,-3,17,36,-2,-4,2,-3
19:28:56.085968,0,14,-2,-60,-17,2,-3,-14
19:28:56.093006,0,2,14,33,-1,-1,-1,7
19:28:56.100490,-2,-4,-23,-56,1,2,0,1
19:28:56.115613,0,7,23,34,-8,-5,-3,0
19:28:56.122793,-2,-6,-10,-48,-30,0,4,6
19:28:56.137827,-3,-2,7,-11,19,7,-2,-10
19:28:56.138616,-2,-1,-4,-2,-7,-3,1,-3
19:28:56.152962,2,-1,-1,-23,-3,2,1,-2
19:28:56.160378,-5,-5,-7,-10,-18,-10,-6,-5
19:28:56.175518,-2,-3,-10,22,16,4,-1,1
19:28:56.182841,-1,6,3,-6,16,11,2,-3
19:28:56.197843,-3,-2,1,26,2,1,-4,-8
19:28:56.198648,-1,2,-5,-2,-22,-17,-6,-9
19:28:56.213677,-3,0,0,-13,6,12,7,-1
19:28:56.220437,-1,1,14,30,-1,9,3,4
19:28:56.235485,-1,-4,7,16,11,6,1,-2
19:28:56.242803,4,-1,-14,9,2,6,8,5
19:28:56.257877,1,2,15,43,38,9,8,-5
19:28:56.258656,3,7,22,8,-4,2,2,-12
19:28:56.273707,0,-5,2,-17,-7,1,-4,3
19:28:56.287839,-1,-4,-1,26,-7,-5,-4,7
19:28:56.295529,2,4,9,16,18,19,5,-4
19:28:56.302809,3,4,-7,-39,-10,3,-2,6
19:28:56.317867,0,4,14,53,-4,7,7,-1
19:28:56.318750,5,9,5,-4,8,1,3,11
19:28:56.332970,-1,-4,-19,-22,-7,1,1,-9
19:28:56.340411,-1,-9,0,4,-27,-16,-6,4
19:28:56.355584,-1,-3,10,-33,-17,-3,-5,-1
19:28:56.362846,3,0,-10,16,-4,-3,0,-3
19:28:56.377822,-1,-4,-8,-29,-2,22,1,-9
19:28:56.385298,2,-8,-14,-15,-19,8,1,2
