timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
22:50:08.405510,0,-7,2,4,-13,-4,-3,0
22:50:08.412895,-3,1,-2,3,7,5,0,-1
22:50:08.428495,-1,-3,37,3,-6,-6,-2,-3
22:50:08.428719,1,-5,-9,-7,-3,5,2,-3
22:50:08.442801,-5,-3,0,0,4,0,-1,0
22:50:08.450517,-1,0,1,-4,-8,1,0,1
22:50:08.465454,-2,-5,-4,-1,-5,-5,-2,-1
22:50:08.472671,-2,0,-16,6,-5,3,-5,-4
22:50:08.487683,1,2,0,7,12,1,6,2
22:50:08.488461,-6,0,-4,-6,-6,6,-3,-1
22:50:08.510180,-3,-2,-34,-13,-12,-10,-5,-3
22:50:08.511091,2,3,-6,13,6,0,3,-4
22:50:08.525282,-2,2,1,7,14,-6,1,-2
22:50:08.532819,-2,-1,-4,-3,7,2,-4,-5
22:50:08.547733,0,1,1,4,7,-4,-1,-2
22:50:08.548432,-5,0,-3,-2,-5,4,1,-3
22:50:08.562822,-4,-4,11,-7,-2,-9,-1,3
22:50:08.570336,-1,-4,-2,0,-2,4,1,2
22:50:08.585968,-7,-3,-4,6,-1,5,-1,1
22:50:08.592615,-2,-3,12,-5,-6,-3,-2,-4
22:50:08.615187,1,-1,-5,1,-3,6,-3,-5
22:50:08.615785,3,-1,1,-1,-2,17,-1,1
22:50:08.622776,-3,-4,10,3,-10,-5,-5,2
22:50:08.630285,-2,0,-4,0,25,1,4,-1
22:50:08.645912,-5,-1,1,6,-3,5,-2,1
22:50:08.652838,-1,-1,-2,-12,-9,2,2,0
22:50:08.667779,-1,-8,-5,1,-2,-3,2,3
22:50:08.668455,1,5,4,6,0,2,0,-3
22:50:08.682805,-1,-3,-1,-7,-12,-1,1,2
22:50:08.690465,-1,0,-4,-1,2,2,-5,-1
22:50:08.712660,-1,0,-1,-2,-6,-4,3,-3
22:50:08.713215,2,1,2,1,15,0,1,1
22:50:08.727649,-3,-1,2,-2,-3,-4,4,2
22:50:08.728399,-2,0,-2,-8,-6,-2,2,-1
22:50:08.742667,2,2,6,5,5,1,2,1
22:50:08.750240,-2,-2,12,-3,-4,1,-1,0
22:50:08.765501,-2,-3,-1,-3,-7,-9,1,-1
22:50:08.772715,0,2,13,8,13,6,2,-5
22:50:08.787584,-2,-3,-7,-9,2,-2,-5,-2
22:50:08.788414,-2,-3,-3,-2,17,8,-5,-2
22:50:08.802761,1,-1,1,-2,-6,-3,1,1
22:50:08.810388,-2,-1,1,1,2,-1,-1,1
22:50:08.825570,1,-1,6,-17,3,1,-8,0
22:50:08.832606,0,-1,0,3,-22,-5,-1,-1
22:50:08.847907,-2,0,3,2,18,1,5,-1
22:50:08.855099,-1,-1,26,1,6,4,-6,-7
22:50:08.870114,-5,0,-3,-9,-14,5,-1,1
22:50:08.871028,-4,0,-3,-5,-6,-4,-5,0
22:50:08.885257,2,7,4,9,2,-8,-2,3
22:50:08.892583,-5,-14,-11,-19,-22,-6,-6,-7
22:50:08.907759,2,6,2,16,24,6,13,5
22:50:08.923025,-3,-7,-4,-11,-24,-10,-4,-4
22:50:08.930387,2,7,-1,6,30,-2,3,-3
22:50:08.931178,-5,-5,-2,-2,-10,2,-3,-5
22:50:08.945263,-1,-3,34,-3,2,1,-2,0
22:50:08.952592,2,-3,-5,-4,-5,0,-2,-1
22:50:08.967778,1,-1,2,6,1,-9,-3,2
22:50:08.975105,-1,1,13,-2,6,16,4,1
22:50:08.990072,0,-5,0,-1,-31,-14,-6,6
22:50:08.991057,-1,5,-1,-1,25,5,3,-4
22:50:09.005587,1,-2,-1,-4,-14,2,-1,2
22:50:09.012752,2,-5,0,4,-20,-3,-1,1
22:50:09.027709,-2,-1,-12,-5,6,-10,-1,-7
22:50:09.035114,-2,0,-7,-5,3,-1,0,0
22:50:09.050143,-4,-5,-1,1,-8,-4,-6,0
22:50:09.051063,0,3,2,17,21,10,6,-3
22:50:09.065292,-1,-3,-3,2,-4,0,-1,-1
22:50:09.072717,2,5,14,0,28,24,0,-6
22:50:09.087970,1,4,4,3,-15,-1,-1,4
22:50:09.095115,-2,-4,-5,-6,9,7,-7,-7
22:50:09.110165,-1,-3,-3,-4,1,-13,0,-3
22:50:09.111045,-2,-4,1,-3,2,4,-3,0
22:50:09.125297,-2,-6,-15,-15,-24,-11,-6,1
22:50:09.132771,-2,3,4,5,9,12,5,-2
