timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
18:44:55.748815,-1,-2,0,-3,-2,1,1,1
18:44:55.763228,-2,1,1,-3,-1,2,-1,-3
18:44:55.786106,-1,1,-2,-2,-1,1,1,-4
18:44:55.800705,-1,1,-1,-3,-4,1,-2,-3
18:44:55.808254,0,0,-3,2,-1,-2,-1,-3
18:44:55.831147,-1,-3,1,-2,2,-2,-2,-1
18:44:55.845703,0,0,3,0,-3,-1,-1,1
18:44:55.853291,-1,0,-1,-3,2,-3,-1,1
18:44:55.868444,-1,-1,-2,0,2,2,-2,-4
18:44:55.869059,-3,-1,-1,1,2,-1,0,0
18:44:55.883265,1,-3,1,-3,-1,-1,0,-3
18:44:55.890742,-1,0,-1,1,-3,-4,-2,-2
18:44:55.905523,-3,-1,-1,0,-2,-2,-1,0
18:44:55.913734,-2,-4,-2,0,-4,1,-2,-1
18:44:55.921415,-1,-2,-2,-2,1,2,2,-1
18:44:55.928256,-4,-2,0,0,-1,-3,-1,1
18:44:55.943188,0,-4,-3,-4,1,-2,-1,1
18:44:55.950665,-3,-3,-1,1,-2,0,0,-1
18:44:55.959020,0,3,-2,-4,-1,-3,-3,-2
18:44:55.980710,2,-3,3,0,-2,0,-1,1
18:44:55.982085,-2,-1,1,0,-2,-3,-2,-3
18:44:55.988220,-1,0,0,-1,-2,0,-2,-1
18:44:56.003263,-1,-2,-1,-3,0,-1,-1,-1
18:44:56.011004,-2,-1,-2,-1,-2,-3,0,1
18:44:56.018937,-2,1,-2,-2,-3,-1,-1,-3
18:44:56.033208,2,-1,2,-1,2,1,0,0
18:44:56.041519,-1,-2,-2,0,-1,0,-2,-1
18:44:56.048184,1,-1,-1,3,0,0,-1,0
18:44:56.063212,1,-3,-1,-2,-2,0,-1,0
18:44:56.078027,0,-1,0,2,-1,-4,-1,0
18:44:56.079570,-1,0,-3,-1,-1,0,1,1
18:44:56.108050,0,-2,2,0,2,-3,-2,2
18:44:56.109384,1,1,-2,-1,0,-1,-1,-1
18:44:56.110188,-3,2,0,-1,1,-2,-2,0
18:44:56.123204,0,4,-3,-4,-3,-2,-1,3
18:44:56.130709,0,-1,2,2,-1,2,-1,0
18:44:56.138879,2,1,1,-4,-1,3,-4,-2
18:44:56.160609,0,-1,0,0,1,1,-4,-6
18:44:56.162039,-1,-1,0,-2,-1,-2,0,0
18:44:56.168216,-1,-2,-1,-1,1,-4,0,0
18:44:56.183829,3,0,-1,-1,-4,0,-1,-3
18:44:56.190739,2,0,-1,-1,-2,-1,0,2
18:44:56.198793,0,0,-5,-1,0,-3,-1,-2
18:44:56.213185,-1,-2,0,-1,0,2,-2,-2
18:44:56.221426,0,-2,-2,0,-1,1,-2,-2
18:44:56.228211,0,-2,0,-4,0,-2,-1,0
18:44:56.243320,-3,0,0,0,0,0,-2,-1
18:44:56.250673,-3,-1,-1,1,-2,-1,3,0
18:44:56.266419,0,-3,1,-2,2,0,0,-3
18:44:56.273175,2,-3,-3,-1,1,-1,-2,2
18:44:56.281415,0,0,1,0,-3,1,-3,-2
18:44:56.295536,0,0,-3,-2,-1,-2,0,0
18:44:56.303195,-1,0,-1,-1,-1,1,0,-3
18:44:56.310657,-1,-3,1,-3,0,1,-2,0
18:44:56.318909,-1,1,1,1,1,-4,0,-1
18:44:56.333184,1,-2,-3,-1,-2,-1,1,-1
18:44:56.341374,-5,-1,-4,-3,-1,0,1,-2
18:44:56.348200,-3,-2,0,4,-2,-3,0,-1
18:44:56.363223,-1,2,-2,-2,-3,-1,-4,1
18:44:56.370732,0,-4,1,-3,-1,1,-3,2
18:44:56.378903,1,-2,-2,2,1,-2,2,1
18:44:56.393181,0,1,2,-2,4,-3,1,-1
18:44:56.401376,-3,-2,-1,-2,-1,0,0,-2
18:44:56.408194,1,-2,1,0,-2,-4,-1,-3
18:44:56.423180,-2,0,0,1,-2,1,-3,0
18:44:56.430779,2,-4,-2,0,-3,1,-2,1
18:44:56.445960,-3,1,3,-1,-1,-1,0,0
18:44:56.453255,-1,-3,1,-1,-2,-4,0,-3
18:44:56.468004,1,-2,-2,3,2,-1,0,2
18:44:56.468859,0,-2,-4,-7,-4,-2,-3,-1
18:44:56.483259,1,1,0,2,3,-2,-2,0
18:44:56.498010,-1,-7,2,0,-3,-1,-1,-2
18:44:56.505695,-2,-2,-5,7,-2,0,-3,1
18:44:56.513281,-3,0,-2,-18,-9,-1,3,1
18:44:56.521407,2,-2,5,14,5,-1,2,0
18:44:56.528225,-2,0,-1,-17,-7,-5,-1,0
