timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
19:00:11.605848,-2,-2,-10,-1,0,-2,-1,2
19:00:11.620528,-2,-3,2,-3,-2,-2,-1,1
19:00:11.650771,-1,-1,0,-4,-9,-3,-2,-6
19:00:11.665143,0,0,11,12,9,-1,-1,-1
19:00:11.665988,0,-2,-8,-9,-2,-1,0,-1
19:00:11.688317,-2,-1,-1,-3,0,0,1,-3
19:00:11.695290,1,-1,7,1,-1,0,1,0
19:00:11.710384,-1,-4,-19,-7,-7,-4,-1,-1
19:00:11.718166,1,-1,-1,-21,-3,1,-2,-1
19:00:11.725790,-5,-2,14,2,1,2,-3,2
19:00:11.740233,-2,-1,-1,3,-1,-2,0,2
19:00:11.747822,-3,-1,-3,-3,1,0,2,-5
19:00:11.755688,-5,1,22,7,5,-2,-3,-2
19:00:11.770886,2,-5,-8,-42,-46,-5,-4,-2
19:00:11.778218,-2,2,12,13,7,3,0,0
19:00:11.786715,-5,-1,11,10,6,0,0,-1
19:00:11.800456,0,-1,-27,-13,-8,-4,-5,0
19:00:11.808925,-1,-1,-7,1,0,-3,-2,-1
19:00:11.815460,4,1,34,28,-1,0,0,-2
19:00:11.830986,2,-4,-4,15,0,-2,0,0
19:00:11.837836,2,1,3,7,-1,-1,-3,0
19:00:11.845939,-5,-3,-13,-10,2,-1,-3,-3
19:00:11.860461,-3,0,-21,6,-2,-3,1,-3
19:00:11.868545,1,0,-1,-13,-9,-1,0,1
19:00:11.875736,-1,-1,42,20,13,2,-1,-5
19:00:11.898258,2,1,-1,-24,-25,-5,-2,0
19:00:11.899225,0,0,0,2,-1,-2,2,-1
19:00:11.905917,-2,-3,0,4,5,-1,1,-2
19:00:11.920316,1,-2,-2,-3,1,2,1,0
19:00:11.928466,-1,1,-1,2,-1,-2,-1,-2
19:00:11.935641,0,0,34,27,-1,-1,-2,-2
19:00:11.950926,0,-1,-7,4,-2,0,2,-1
19:00:11.957856,2,1,8,24,3,-2,-2,-3
19:00:11.966010,-4,-3,-13,-4,-4,-1,2,-2
19:00:11.980300,-1,-2,-15,-25,0,2,2,2
19:00:11.988474,-2,-1,-27,14,16,1,-2,-2
19:00:11.995310,-2,1,8,-1,-10,-3,0,-1
19:00:12.018255,-1,0,6,9,9,-4,0,-2
19:00:12.019243,0,-2,-1,1,2,1,0,0
19:00:12.026019,-1,3,-2,2,1,-1,-3,-2
19:00:12.040296,0,-1,-1,-2,1,0,-1,-1
19:00:12.048399,1,1,0,-1,-1,-2,-4,1
19:00:12.055374,0,0,-4,-2,-2,1,3,0
19:00:12.070977,-1,1,-3,2,-1,-3,-4,-1
19:00:12.077804,-1,0,0,-21,1,1,-4,-3
19:00:12.085958,-2,-3,5,-18,-4,-4,-3,-1
19:00:12.100516,0,3,11,10,2,0,1,-1
19:00:12.108495,-5,1,8,8,-3,-3,-1,0
19:00:12.115366,0,1,3,-19,-17,-1,-1,-2
19:00:12.130982,-2,2,1,10,5,2,0,1
19:00:12.137712,-1,-4,1,6,5,1,0,-1
19:00:12.145995,2,-3,-30,-6,-2,1,3,-1
19:00:12.160301,1,-1,3,-4,-2,-3,-2,2
19:00:12.175968,-1,-1,1,2,0,0,1,0
19:00:12.182789,-1,1,4,2,1,2,-1,1
19:00:12.190943,-1,0,-13,-19,-3,-1,0,-3
19:00:12.197775,2,0,3,37,5,-2,-1,-1
19:00:12.205988,-1,-2,-6,-28,-24,-6,-2,-1
19:00:12.220302,-2,-1,3,8,3,1,-1,-1
19:00:12.228517,2,4,-2,8,8,1,-2,-4
19:00:12.242784,0,0,6,-5,-2,1,-1,-1
19:00:12.251280,-1,0,-5,-7,0,-2,1,-3
19:00:12.257886,1,-1,0,2,1,0,-1,0
19:00:12.265988,2,0,4,0,9,-4,-1,-1
19:00:12.280309,0,-3,2,0,-3,2,1,-3
19:00:12.288455,-3,1,9,10,10,0,-1,-1
19:00:12.302775,-1,-3,-31,-31,-20,-3,-2,1
19:00:12.310976,-1,1,23,1,-13,-2,2,2
19:00:12.317764,1,1,-10,2,3,1,-1,0
19:00:12.325986,-2,-3,13,4,3,-3,-1,4
19:00:12.340411,-2,0,-21,-4,4,-1,-1,-2
19:00:12.348482,-3,1,11,2,-4,-4,0,-3
19:00:12.370163,1,0,-3,1,0,-3,0,1
19:00:12.371639,-2,0,2,4,1,-2,-1,-1
19:00:12.385184,1,0,2,-1,2,-1,-4,1
19:00:12.386677,-4,1,1,9,8,0,-2,-3
19:00:12.400365,1,2,-15,-38,-14,-2,0,-2
19:00:12.409033,-2,1,37,20,5,-1,-2,-2
19:00:12.422927,1,-4,-52,-25,-10,0,-1,-1
19:00:12.431010,-2,0,15,6,4,-3,-2,-2
19:00:12.437786,2,0,-23,-2,-2,2,1,0
19:00:12.445992,-2,-3,7,0,0,1,-3,0
19:00:12.460424,2,1,-1,-4,-12,-1,-1,-3
19:00:12.468453,-4,-5,-16,-5,17,-2,-3,-4
19:00:12.482810,0,-3,5,-3,6,0,1,-2
19:00:12.491167,-3,-2,-27,-9,-6,2,-2,1
19:00:12.505238,-2,0,10,6,0,-1,-3,0
19:00:12.512800,-6,-1,8,13,5,0,-3,-3
19:00:12.520279,0,-2,0,16,16,-1,-1,-1
