timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
22:08:57.315057,-1,1,7,10,-2,0,2,4
22:08:57.315747,0,-3,0,1,2,2,1,2
22:08:57.322549,-1,-4,-4,-3,-1,-1,0,-2
22:08:57.323381,3,0,0,-1,-4,-3,1,1
22:08:57.359822,-3,-1,-5,4,2,-2,-2,0
22:08:57.360268,-4,-7,-8,-6,-1,2,-3,-2
22:08:57.374743,-1,2,0,2,-1,0,0,1
22:08:57.375274,-3,-3,-12,-7,-4,-3,-2,-2
22:08:57.382355,-1,0,-6,-4,1,3,4,1
22:08:57.382933,-1,4,7,1,0,-1,1,-1
22:08:57.404815,1,-3,-15,-18,-2,-5,-2,-5
22:08:57.405485,3,1,-3,-1,2,1,0,0
22:08:57.427716,3,-3,0,1,3,0,3,-1
22:08:57.428331,-3,2,12,-3,-6,-3,0,-4
22:08:57.442181,-2,-4,-9,-10,-1,1,-2,-2
22:08:57.442991,-1,2,4,3,1,0,-2,0
22:08:57.464763,2,5,25,7,2,0,-4,0
22:08:57.465421,-2,-1,9,0,-3,2,2,2
22:08:57.487356,-2,1,1,3,1,-1,-2,-2
22:08:57.487956,-1,-2,-10,-4,0,-2,0,0
22:08:57.502119,1,-2,2,10,2,-1,-1,1
22:08:57.502964,0,1,-6,-3,2,0,0,1
22:08:57.524668,-3,-2,-1,-1,1,-2,-2,-3
22:08:57.525463,-1,-4,4,3,-2,-2,-2,-1
22:08:57.547271,0,4,9,6,-7,-2,0,0
22:08:57.547741,-4,-1,4,-8,-3,-2,-2,1
22:08:57.562157,-1,-5,10,-5,-1,0,-1,5
22:08:57.562939,1,3,3,5,3,-1,0,-2
22:08:57.584618,0,3,15,0,-2,-1,-2,1
22:08:57.585474,-2,-3,-4,5,0,0,-1,0
22:08:57.607147,-2,2,11,4,-1,-1,-2,-2
22:08:57.607744,3,3,10,19,2,0,-2,0
22:08:57.622232,-5,-6,-15,-14,-4,-3,-2,0
22:08:57.622931,0,3,2,6,2,-3,0,-2
22:08:57.644602,-1,-2,-8,-3,0,-2,-1,0
22:08:57.645448,1,1,-4,-4,-1,1,-1,1
22:08:57.667141,-3,-3,-1,-3,-5,-5,-3,-5
22:08:57.667759,4,2,-2,-3,-1,1,0,1
22:08:57.682309,0,9,59,11,-1,-2,0,-3
22:08:57.683008,-6,-12,-40,-7,-4,-4,-4,-4
