timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
19:53:01.338177,-5,-4,-3,0,-3,-1,-1,-3
19:53:01.345387,1,-3,0,-5,1,0,3,2
19:53:01.360532,0,1,0,1,1,0,4,2
19:53:01.362532,2,0,-6,-3,-2,-1,-1,-3
19:53:01.375744,-3,-3,-10,1,-3,-2,-1,0
19:53:01.383304,0,-1,-3,-12,-5,0,-4,-1
19:53:01.397919,-3,-4,4,6,-8,0,1,-1
19:53:01.405695,1,1,-3,-18,-3,0,3,3
19:53:01.420135,-1,-1,0,10,3,-1,-2,0
19:53:01.421769,-2,-1,-3,-3,-1,-1,-2,-3
19:53:01.442896,-1,-2,2,3,0,-1,1,2
19:53:01.444127,0,0,-1,0,0,3,1,-3
19:53:01.465140,0,4,4,0,0,1,3,2
19:53:01.466456,-1,0,0,10,1,-3,-1,-3
19:53:01.480446,-3,-2,-27,-7,-2,2,1,-3
19:53:01.481554,0,-1,-5,11,5,-1,-3,1
19:53:01.495336,-3,-2,1,19,5,3,-2,-1
19:53:01.503349,-1,-2,-6,-38,-22,-7,-7,-6
19:53:01.517545,-1,1,-1,5,3,2,-1,0
19:53:01.525150,-3,0,1,2,3,0,-2,-2
19:53:01.540200,-5,-1,-4,-2,2,-2,7,2
19:53:01.541492,0,1,2,-1,2,1,2,5
19:53:01.555336,1,-2,-3,-3,-1,0,2,-1
19:53:01.563312,2,-2,-3,0,-7,-4,-4,-1
19:53:01.577595,3,3,4,0,-9,-2,6,5
19:53:01.585257,-7,-3,10,5,0,3,2,3
19:53:01.600050,1,-1,-4,9,4,-4,1,0
19:53:01.601509,2,-4,-4,-6,-1,-2,1,0
19:53:01.615122,-1,-2,-2,-2,1,1,1,1
19:53:01.623298,-4,-1,0,3,0,-2,0,1
19:53:01.637616,1,0,-1,0,-3,2,-3,-1
19:53:01.652642,0,-2,-3,11,13,5,4,0
19:53:01.660042,-3,1,-8,-14,-16,-5,-2,-6
19:53:01.661504,-2,0,3,5,4,3,2,0
19:53:01.675203,-1,0,25,8,4,1,-2,-2
19:53:01.683221,-1,-2,-4,-3,-3,-5,4,1
19:53:01.697947,-6,-2,-3,1,-12,0,-3,-5
19:53:01.705164,-1,-3,-1,10,9,2,2,0
19:53:01.720090,-1,-1,5,13,3,5,0,-2
19:53:01.721529,0,2,0,-20,2,3,-1,3
19:53:01.735288,-2,-3,2,8,3,-1,-1,1
19:53:01.743336,-1,3,0,-8,4,5,3,-1
19:53:01.757587,-4,-4,-2,-3,4,-2,-3,-4
19:53:01.765224,0,2,19,-7,-3,-4,-1,0
19:53:01.780266,-1,-2,-3,3,-4,-1,-1,-2
19:53:01.795012,-4,-2,1,4,3,0,0,-2
19:53:01.795818,-2,-6,-1,-4,-7,-5,-1,-3
19:53:01.803266,2,4,0,-7,0,2,3,-2
19:53:01.817485,0,-4,0,4,0,1,0,-2
19:53:01.825427,1,0,0,3,5,0,0,2
19:53:01.840081,-6,0,3,9,1,1,-1,-2
19:53:01.847687,-4,-7,-8,-10,-9,-3,-4,-6
19:53:01.862690,0,0,4,2,-3,1,2,-1
19:53:01.864129,0,0,0,9,4,-4,1,-4
19:53:01.885156,-2,1,17,-4,4,3,1,-2
19:53:01.886506,-3,-1,-3,1,-2,0,2,-5
19:53:01.900225,-2,-5,-5,2,27,3,-5,-4
19:53:01.907703,-1,0,-5,-2,21,7,2,2
19:53:01.923049,2,4,5,-29,-12,-1,-1,1
19:53:01.924136,1,-2,-1,1,-2,3,-1,-5
19:53:01.938185,0,1,-1,-1,-3,0,1,4
19:53:01.945415,-2,-4,-2,-5,6,1,-6,-5
19:53:01.960137,-6,-1,-8,-8,-3,-4,-9,-6
19:53:01.967659,0,-1,6,6,-5,0,-2,-2
19:53:01.982752,0,-4,-8,-1,1,5,2,1
19:53:01.984096,-1,3,15,8,-2,-3,-4,-2
19:53:01.997504,0,-3,-4,18,3,6,4,2
19:53:02.005365,-4,-2,1,2,2,3,-2,-2
19:53:02.020164,-1,-1,-1,6,-9,-5,-4,-2
19:53:02.035223,1,2,2,1,-1,-6,3,0
19:53:02.050102,-4,-1,2,8,7,4,5,-3
19:53:02.051540,0,-1,-1,-14,10,7,1,-2
19:53:02.057515,1,0,7,-7,-3,0,0,7
19:53:02.065182,-4,0,-4,-7,-2,11,-3,-5
19:53:02.080108,-2,-1,6,8,-3,-10,0,2
19:53:02.087763,-2,0,-4,-3,5,7,3,-1
19:53:02.102677,-1,-3,8,-14,0,-1,-4,-5
19:53:02.104179,-3,-5,-1,2,1,-5,-1,-1
19:53:02.117624,-5,-8,-4,-12,-2,4,-4,-3
19:53:02.125259,2,4,5,14,7,-3,2,1
19:53:02.140097,0,0,1,-4,17,2,-1,-1
19:53:02.147652,-3,-4,-3,-8,-2,-2,-1,-2
19:53:02.162631,-4,2,0,-2,11,6,0,1
19:53:02.164112,0,-1,3,4,0,-2,2,-1
19:53:02.177663,3,9,10,12,5,-5,0,6
19:53:02.185227,-1,-3,1,-5,4,2,3,-1
19:53:02.200068,2,1,3,2,5,3,-1,-2
19:53:02.207718,-4,-2,0,-1,-10,-9,-3,-2
19:53:02.222551,3,1,13,8,-8,-1,1,4
19:53:02.224139,4,1,0,0,2,-4,0,1
19:53:02.237662,1,1,5,12,5,4,1,1
19:53:02.245204,-1,-1,-3,-8,8,2,-3,-4
19:53:02.267808,-1,3,0,4,3,2,-4,2
19:53:02.269126,1,-4,-4,4,-5,4,-1,-5
19:53:02.282614,-3,-2,-1,8,17,9,-3,-1
19:53:02.284153,2,-1,-1,2,8,-2,4,-1
19:53:02.297604,-6,-7,-5,-12,0,0,-5,-6
19:53:02.305404,-3,3,7,8,2,-3,0,-2
19:53:02.320093,0,-7,-3,10,1,-5,-1,1
19:53:02.328140,-1,-4,-4,-3,-34,-5,-2,-1
19:53:02.342616,-3,3,4,7,-2,-3,-5,-1
19:53:02.344126,-2,-2,-3,0,-19,-10,-1,-3
19:53:02.357793,-3,1,-1,-5,0,1,2,-3
