timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
20:05:36.941987,4,1,11,7,0,-1,0,0
20:05:36.949855,-2,-6,-9,-7,-1,0,12,7
20:05:36.964616,2,-1,4,10,-1,-2,-3,1
20:05:36.971999,-1,-3,-17,-15,0,-3,-6,-6
20:05:36.987380,-2,-4,8,10,-3,-2,-7,2
20:05:36.988238,3,-3,-31,-21,-4,-6,7,5
20:05:37.002046,0,0,2,4,-4,2,-3,-1
20:05:37.009556,4,4,3,9,7,2,-3,1
20:05:37.024564,-4,-8,-14,-5,-6,0,-5,0
20:05:37.032051,2,3,11,5,0,4,2,2
20:05:37.054406,-1,1,15,-3,-4,-4,-3,-4
20:05:37.054934,-2,-4,-25,-10,4,-2,0,1
20:05:37.061997,-2,0,6,10,-4,-3,2,4
20:05:37.069569,3,-1,4,4,2,3,2,-1
20:05:37.084375,1,-2,-2,1,1,-1,-2,-2
20:05:37.092052,3,3,3,0,3,0,-1,-1
20:05:37.106795,-2,-3,-2,-5,-8,-4,-3,-4
20:05:37.107723,2,5,27,17,5,-3,4,0
20:05:37.122083,-3,-5,-19,-8,-3,-1,2,-4
20:05:37.129534,3,0,-4,-4,0,-5,1,1
20:05:37.151824,1,-1,16,7,-1,-2,-2,-1
20:05:37.152530,-3,-6,-15,-6,3,0,2,-1
20:05:37.166778,-4,-1,-10,6,-2,-1,-5,-2
20:05:37.167603,4,0,-5,1,3,1,-1,1
20:05:37.181969,-2,2,11,8,-4,-1,-7,0
20:05:37.189557,3,-1,-14,-8,6,22,12,8
20:05:37.204429,0,2,14,9,0,-3,-2,-1
20:05:37.211955,1,4,7,4,0,-1,-1,-3
20:05:37.227428,1,-2,-5,-15,-4,-1,1,-1
20:05:37.228357,-2,4,5,4,-1,-4,4,1
20:05:37.242643,0,5,10,8,2,-1,-6,3
20:05:37.249469,-9,-3,3,-2,-2,-9,-19,-11
20:05:37.265184,-6,-7,-26,-27,-6,-3,0,-5
20:05:37.271958,2,5,12,9,6,2,2,2
20:05:37.286824,0,1,21,27,1,3,-4,4
20:05:37.287571,-1,-1,-23,-39,-4,-6,-4,-4
20:05:37.302035,1,-3,9,7,-1,2,-3,-1
20:05:37.309397,0,-3,-22,-19,-1,-3,4,-1
20:05:37.324476,-2,0,3,2,1,7,-5,-2
20:05:37.332008,0,1,1,-3,9,5,-1,-5
20:05:37.346798,3,-3,-1,2,-3,0,0,2
20:05:37.347598,-1,2,-10,-5,-3,-3,-3,-5
20:05:37.361947,-1,-6,-22,-6,-5,-1,-2,0
20:05:37.369465,3,8,12,10,-4,-7,-4,-2
20:05:37.384458,-7,-4,12,-3,1,0,-3,-6
20:05:37.392016,0,-3,-20,-9,-4,-4,-16,-9
20:05:37.406782,-3,-4,3,-4,-6,1,1,-2
20:05:37.407636,-2,-2,0,-1,5,3,3,2
20:05:37.422003,-1,-3,10,0,-8,-4,-1,2
20:05:37.429509,1,2,2,-3,2,2,0,-3
20:05:37.444409,-3,0,-9,6,6,9,-4,-2
20:05:37.451926,-1,-2,0,-5,0,4,10,3
20:05:37.466843,-7,-5,-13,-1,-6,-7,-8,-7
20:05:37.474289,0,-4,-9,-20,-1,0,3,-5
20:05:37.481890,3,2,-2,5,2,-16,-8,0
20:05:37.489499,8,4,-3,-4,1,5,11,6
20:05:37.504423,0,-2,-33,0,3,3,-3,-2
20:05:37.511894,2,1,3,0,-4,-2,2,2
20:05:37.526753,3,4,-2,3,10,5,-3,3
20:05:37.527535,-1,-4,7,14,-3,0,3,3
20:05:37.541890,1,4,4,-4,-1,-1,-3,0
20:05:37.549481,0,-1,-1,-7,-8,-6,-2,2
20:05:37.564425,-6,-2,3,19,7,3,-6,-3
20:05:37.571993,0,3,13,10,3,2,1,3
20:05:37.586827,-8,-10,-24,-24,-12,-7,-4,-7
20:05:37.587628,5,10,-1,16,11,2,-3,-2
20:05:37.601938,6,0,13,-6,-16,-2,1,6
20:05:37.609448,-1,9,12,13,8,-8,-6,-3
20:05:37.624500,-7,-11,-13,-16,-24,-11,-6,-1
20:05:37.632072,2,3,-4,-3,3,-1,-3,0
20:05:37.646777,0,3,8,16,-2,1,-6,-6
20:05:37.647581,-3,-9,-23,-17,2,-4,3,-4
20:05:37.661994,5,4,-8,6,1,1,-3,2
20:05:37.676775,4,6,10,8,8,9,7,4
20:05:37.684474,-2,-7,-17,-12,-8,-2,-4,-5
20:05:37.692052,2,4,12,7,7,5,4,0
20:05:37.706763,-6,-9,-19,-5,-13,-4,-6,-8
20:05:37.707621,11,13,18,11,15,9,-3,3
20:05:37.721952,-7,-10,-1,-8,-15,-11,-3,-2
20:05:37.736764,3,3,-2,-8,-3,-8,-4,-1
20:05:37.744478,-1,-4,1,-8,-10,-4,-8,-4
20:05:37.751905,-3,2,6,12,0,-1,0,-3
20:05:37.766917,1,-3,0,-9,-12,-3,-5,5
20:05:37.781879,0,-1,-12,-15,-9,-10,-2,0
20:05:37.789350,-3,-3,-12,3,9,-1,-6,-5
20:05:37.790182,-5,-6,-15,-18,-4,0,1,-2
20:05:37.804596,0,2,8,14,-5,3,0,3
20:05:37.812094,18,20,14,24,21,15,13,9
20:05:37.827109,-10,-15,-2,-9,-19,-6,-2,-4
20:05:37.834335,22,25,19,11,22,15,10,19
20:05:37.856799,-6,-6,-11,-4,-10,-6,0,-3
20:05:37.857459,-1,2,-5,7,16,5,0,2
20:05:37.864407,2,-4,-10,-5,-7,-3,-5,0
20:05:37.871918,0,-5,12,17,-1,-8,-3,-7
20:05:37.886885,8,9,9,3,6,4,4,7
20:05:37.894252,-6,-9,-16,5,4,-3,-4,-8
20:05:37.909239,1,2,1,1,-2,-3,-8,-2
20:05:37.910066,-5,-12,-16,-28,-26,-6,0,-3
