timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
18:21:13.332668,2,0,4,15,5,7,1,0
18:21:13.340276,-5,-5,4,22,11,-1,0,-1
18:21:13.355055,-1,-1,-2,2,-1,5,0,2
18:21:13.355581,1,0,1,9,4,-9,3,-3
18:21:13.370733,1,0,-6,-21,-6,0,1,-7
18:21:13.378347,3,1,0,-7,-1,-6,2,1
18:21:13.392641,-1,1,-3,-8,-3,-4,0,0
18:21:13.407509,-5,-1,5,25,3,-5,1,2
18:21:13.415136,-1,-1,4,31,3,2,1,-6
18:21:13.415814,-2,-5,-4,-3,-2,-7,-2,-2
18:21:13.430122,1,1,6,6,5,-2,-2,-2
18:21:13.452605,-3,-3,2,0,0,-5,0,0
18:21:13.453974,0,-1,3,4,2,-4,0,-2
18:21:13.459983,-1,-3,-5,-19,-6,-7,-2,0
18:21:13.475069,0,-1,-4,-19,-7,-3,1,-2
18:21:13.475734,0,2,-1,-5,-5,-7,-2,0
18:21:13.490096,2,1,5,10,1,0,-1,0
18:21:13.497609,-4,-5,-10,-7,-4,-13,-6,-2
18:21:13.512650,0,0,2,-2,-2,-3,2,2
18:21:13.520044,-2,1,0,8,7,1,0,2
18:21:13.534963,2,1,-5,2,1,2,2,-3
18:21:13.535785,-1,3,8,-4,1,-6,0,1
18:21:13.550126,-6,-4,-14,-29,-16,-2,1,-1
18:21:13.557718,1,1,0,8,2,-11,0,3
18:21:13.573283,-1,0,0,0,2,1,0,0
18:21:13.579980,-3,-5,-3,7,-4,-6,-5,-1
18:21:13.595018,-1,1,3,5,1,-2,-1,-1
18:21:13.595774,-1,-3,1,7,6,1,3,2
18:21:13.617604,-1,-3,-5,-1,-4,-3,1,-4
18:21:13.618341,-1,1,-1,-1,0,-5,1,-3
18:21:13.632636,-1,0,0,-3,1,2,-3,-3
18:21:13.640017,-3,-4,-3,18,11,-1,-1,0
18:21:13.654947,2,-1,-1,0,0,0,-1,-3
18:21:13.655732,-1,1,2,13,1,-5,3,2
18:21:13.670130,-1,-4,-9,-34,-14,0,-3,-1
18:21:13.677635,0,-1,-8,6,4,-3,-1,1
18:21:13.692581,-4,-1,1,24,-2,-2,-1,-2
18:21:13.699986,-2,-1,8,14,-4,-3,0,2
18:21:13.722400,2,0,6,5,1,-2,2,1
18:21:13.723039,0,-2,9,27,5,-1,0,1
18:21:13.730030,1,-3,-6,-24,-4,-1,-1,-2
18:21:13.737563,-3,-1,3,4,2,-2,1,0
18:21:13.752551,-3,-1,-10,-25,-12,-5,-5,-3
18:21:13.767476,-2,-1,-2,-3,-1,0,-1,1
18:21:13.775134,1,-2,-3,-7,0,-6,1,-2
18:21:13.782336,-6,-1,9,45,4,-4,0,-2
18:21:13.790121,-1,2,0,11,3,1,2,1
18:21:13.797546,-3,-4,1,8,0,-5,3,1
18:21:13.812570,-1,-2,6,12,2,-4,-1,-1
18:21:13.820162,2,-1,-5,-19,-5,0,5,1
18:21:13.835345,0,0,2,-8,-4,-1,1,-1
18:21:13.842437,-2,-2,0,2,3,-3,0,1
18:21:13.850213,-2,-5,-9,-43,-11,-3,-5,-2
18:21:13.857557,0,-1,0,4,1,-2,0,4
18:21:13.872693,-1,-1,4,38,10,0,1,-5
18:21:13.880079,-3,-2,-2,-4,2,-4,-1,-1
18:21:13.895114,0,-3,-5,-20,-4,1,1,1
18:21:13.902388,2,4,5,33,14,-1,0,-1
18:21:13.917372,0,-4,-3,-6,-1,-1,1,-3
18:21:13.918413,2,-2,0,9,3,1,1,-1
18:21:13.932523,1,-4,-4,-3,0,0,-2,0
18:21:13.939901,-1,-1,-3,-14,1,-3,2,1
18:21:13.955058,-1,-3,-1,2,0,3,0,-3
18:21:13.962376,2,1,-3,-14,4,0,4,0
18:21:13.977367,-4,-6,-12,-56,-15,-2,-5,-5
18:21:13.978317,0,-2,-1,-3,3,-5,-2,1
18:21:13.992537,1,0,7,24,4,-5,3,-1
18:21:13.999930,-4,-5,-7,-1,-8,-3,-3,-1
18:21:14.015035,3,1,0,9,3,0,-1,0
18:21:14.022382,-3,-1,1,6,7,-6,2,0
18:21:14.037405,-1,-5,-10,-35,-6,0,-2,-2
18:21:14.038338,-2,0,5,6,3,-2,1,1
18:21:14.052617,3,3,8,-1,-3,-5,4,-1
18:21:14.059949,-4,-6,-14,-51,-19,-5,-4,-3
18:21:14.089919,1,2,-1,18,-2,3,0,-4
18:21:14.090458,1,-3,-9,-20,-11,-5,3,2
18:21:14.097355,-2,-3,6,1,-3,1,0,1
18:21:14.098314,-1,4,-1,-8,2,-9,0,0
18:21:14.112582,1,-3,-7,-16,-15,-4,-1,-3
18:21:14.119963,3,3,1,-1,9,-4,-8,-1
18:21:14.135336,-2,-2,-15,2,-7,2,-4,-2
18:21:14.142362,-3,2,-1,30,19,-4,1,6
18:21:14.157416,-2,-4,-14,-46,-30,-12,-3,1
18:21:14.165069,1,2,2,12,9,-3,1,-3
18:21:14.172503,2,0,5,16,-1,-3,0,1
18:21:14.180020,0,-4,-9,-33,-17,-3,-1,1
18:21:14.195068,1,-2,4,17,9,2,1,2
18:21:14.209984,-2,-2,-8,-24,-10,-4,0,0
18:21:14.217381,-1,4,6,20,0,3,-2,-4
18:21:14.218330,-3,-5,-4,2,0,-3,-4,-5
18:21:14.232531,0,-3,-9,-47,-16,-3,-3,1
18:21:14.240091,0,1,22,19,17,-3,3,2
18:21:14.255097,-2,-7,-12,-23,-4,1,-2,-5
18:21:14.262357,1,4,0,10,13,1,0,1
18:21:14.285076,-3,-7,-14,-32,-40,-4,-9,0
18:21:14.285437,2,0,10,12,20,-4,5,-3
18:21:14.292517,-5,-3,14,-9,-29,-2,-2,-3
18:21:14.299923,-1,-2,-1,17,19,3,5,-2
18:21:14.315023,-2,-1,-10,13,5,-3,-6,0
18:21:14.323189,-1,-2,0,-8,1,-1,2,2
18:21:14.337673,-1,0,-9,-20,-12,-2,-7,-2
18:21:14.346065,2,2,-4,15,14,0,5,-2
18:21:14.352695,-3,-8,-25,-38,-38,7,-7,3
18:21:14.360876,1,0,11,26,19,4,3,3
18:21:14.375138,-1,-3,-2,39,-1,-8,2,-3
18:21:14.383211,5,-2,-9,-22,-1,-5,2,2
18:21:14.397662,1,0,3,-2,15,4,2,1
18:21:14.405697,-4,-6,-9,-28,-33,-13,-7,0
18:21:14.412512,2,3,7,15,6,5,3,4
18:21:14.420683,-3,-3,-11,6,-5,-2,-1,4
18:21:14.434989,-3,-1,-2,6,5,-5,2,3
18:21:14.443252,4,-3,-15,-82,-30,-3,-1,2
18:21:14.457564,1,2,4,52,33,1,4,-2
18:21:14.465730,-1,-4,-22,-128,-42,-18,-6,-1
18:21:14.479959,1,3,11,28,16,3,2,0
18:21:14.481384,-3,4,22,0,-22,-14,0,-2
18:21:14.495013,4,0,3,-2,11,6,4,4
18:21:14.503264,-3,2,31,49,33,-1,3,0
18:21:14.517496,-3,-10,-17,-77,-61,-10,-9,-5
18:21:14.525782,3,5,16,12,24,-5,9,3
18:21:14.532611,0,-1,-7,-111,-48,0,-1,2
18:21:14.547544,-1,-3,0,-5,10,-4,6,-1
18:21:14.554977,-3,-1,-18,-71,-19,0,-5,3
18:21:14.563252,3,-1,-3,6,25,1,12,2
18:21:14.577595,-6,-7,11,-3,-53,-2,-7,-1
18:21:14.585749,-1,-3,7,22,35,-4,5,0
18:21:14.599928,0,4,23,-6,-8,-8,-3,-2
18:21:14.601320,0,-3,-3,-9,-6,-5,2,-3
18:21:14.615079,3,3,-2,26,27,-2,4,2
18:21:14.623226,-3,-5,11,-27,-11,-14,-5,-4
18:21:14.637559,-3,-1,1,-27,6,7,1,1
18:21:14.645714,-8,-6,2,42,-28,-20,-9,-8
