timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
19:24:50.617174,4,4,8,8,-1,6,5,-2
19:24:50.617669,-8,0,17,59,10,-5,-8,-10
19:24:50.631417,-3,-6,-29,-102,-24,7,-5,-11
19:24:50.632657,-6,3,10,32,11,6,-7,-12
19:24:50.646321,-3,-1,-18,-39,-9,-7,-15,-4
19:24:50.653756,-1,-2,2,8,0,5,-1,-4
19:24:50.668900,-3,2,-3,-5,6,-9,-22,-15
19:24:50.676455,0,-3,32,73,7,3,-1,11
19:24:50.691029,-5,1,-4,-36,-9,7,-4,-18
19:24:50.692485,-1,1,14,42,7,4,-2,-7
19:24:50.706344,0,2,5,10,1,-2,-2,1
19:24:50.713693,-1,-1,-1,-2,0,0,-4,-5
19:24:50.728526,0,0,-4,-2,1,-2,-3,4
19:24:50.736367,1,-1,3,-10,-6,16,-7,-4
19:24:50.751239,-3,-1,27,44,9,1,2,-3
19:24:50.752669,-2,-12,-29,-128,-41,-12,-8,-7
19:24:50.773625,-3,3,19,40,15,12,2,-6
19:24:50.775035,-3,0,19,8,1,6,5,6
19:24:50.788688,-2,-1,11,2,2,-4,-4,-7
19:24:50.796279,-1,-3,4,9,-5,-3,-1,0
19:24:50.811043,-1,3,5,6,5,3,-4,-5
19:24:50.812443,-4,-1,7,-15,-7,-2,2,6
19:24:50.826402,-10,-7,8,49,2,-10,-11,-3
19:24:50.834402,0,-3,-15,-8,-3,-1,-7,-8
19:24:50.848449,-3,-7,-36,-19,-17,0,-5,-10
19:24:50.856343,0,-1,11,12,2,-11,-4,-2
19:24:50.870921,-1,2,4,-2,4,2,-1,-3
19:24:50.871856,-2,1,23,74,8,-13,-6,4
19:24:50.893537,-6,-6,-43,-82,-15,11,-1,-11
19:24:50.894369,1,2,14,34,14,3,-2,-2
19:24:50.909304,1,-1,9,18,5,-6,-3,-2
19:24:50.916320,-3,-4,-7,47,9,-2,0,3
19:24:50.930954,2,0,14,-35,-26,-7,0,-4
19:24:50.931868,-6,0,9,-1,2,-3,3,-6
19:24:50.961067,-4,3,10,43,9,7,-5,-13
19:24:50.961810,-2,-8,-30,-36,-10,-3,10,11
19:24:50.969290,-6,-1,-9,-47,-8,5,-4,-10
19:24:50.976307,1,0,-4,37,8,0,-1,6
19:24:50.991072,1,-3,23,10,-19,-10,-1,8
19:24:50.991828,-2,-1,-4,-33,3,1,1,-4
19:24:51.014214,-6,0,-5,9,10,9,-1,-12
19:24:51.015127,0,-3,-13,-10,-6,-6,0,10
19:24:51.029306,-4,5,-10,-50,-8,11,-1,-23
19:24:51.036283,2,3,11,15,12,2,-3,2
19:24:51.050958,-7,-4,-28,-26,-2,3,-3,-12
19:24:51.051777,-4,-1,-9,-45,-6,3,-4,-4
19:24:51.066840,-4,0,1,0,-17,0,-5,-12
19:24:51.081199,-2,3,15,29,13,5,0,0
19:24:51.089295,-1,0,0,45,-2,-4,-2,4
19:24:51.096332,-1,0,-59,-95,-19,-3,-1,-4
19:24:51.118624,-4,1,13,73,16,-6,-6,-4
19:24:51.119315,-3,2,1,-27,-16,-1,0,-1
19:24:51.126917,-2,3,3,6,-14,3,-3,-3
19:24:51.133690,2,1,-9,-5,15,4,-5,-6
19:24:51.149361,-6,-2,-11,-57,-12,4,-6,-14
19:24:51.156366,2,4,21,-5,0,5,-2,-6
19:24:51.171136,-6,-1,-23,-102,-20,2,-3,-13
19:24:51.178696,2,-4,-31,34,8,-2,-5,1
19:24:51.186804,-5,-1,10,4,6,11,0,-11
19:24:51.193671,0,2,3,0,-4,1,6,-3
19:24:51.208699,-2,3,15,13,-24,-1,-6,-5
19:24:51.216344,-6,-3,-8,32,17,2,-3,-9
19:24:51.231141,-6,1,14,26,-1,2,-1,-5
19:24:51.238644,4,1,14,-7,5,-1,-1,3
19:24:51.253435,-3,-5,-11,-27,-2,7,-4,-10
19:24:51.260916,-9,-5,4,-29,1,-1,-3,-6
19:24:51.268672,-3,3,5,-14,0,5,-2,-18
19:24:51.276341,0,-11,16,4,-26,-5,0,-1
19:24:51.291110,-5,7,16,-3,16,11,2,-17
19:24:51.298680,5,0,20,30,12,6,7,12
19:24:51.313487,-2,-5,18,22,9,1,-4,-8
19:24:51.314307,-3,0,-6,-36,-3,1,-1,-5
19:24:51.328682,-1,1,13,83,11,7,0,-3
19:24:51.336305,-5,-3,-9,-37,-8,0,-2,-2
19:24:51.351185,0,-3,8,38,13,3,-2,-1
19:24:51.358650,-3,1,11,25,-10,-7,-2,-6
19:24:51.373509,-4,-4,-19,17,3,6,2,-3
19:24:51.374294,-4,-4,-78,-64,-13,0,0,4
19:24:51.388659,-2,4,14,20,8,7,-3,-11
19:24:51.396262,0,-2,11,49,1,-4,3,9
19:24:51.411152,-7,-7,-5,-3,-7,9,2,-11
19:24:51.418662,-4,-3,-5,-6,1,3,-2,10
19:24:51.433519,1,-1,1,13,8,2,1,-10
19:24:51.434310,-2,-6,-23,16,-6,-9,0,4
19:24:51.448567,-8,-2,13,-39,-2,9,-3,-4
19:24:51.456310,-1,-3,12,61,-7,-6,1,-1
19:24:51.471129,1,-6,18,8,-4,-1,2,3
19:24:51.478687,-3,7,27,33,-2,-3,-3,-1
19:24:51.493563,-3,-1,-2,-14,-1,5,-4,-14
19:24:51.494314,3,-1,4,-52,0,0,-6,-3
19:24:51.508660,4,-7,-37,-15,-9,0,-3,2
19:24:51.516395,0,-1,0,-18,9,3,0,2
19:24:51.531351,-2,2,17,-30,-3,1,-6,-4
19:24:51.538683,-1,-6,-14,-22,3,3,4,12
19:24:51.553529,-2,6,15,1,10,-2,-2,-11
19:24:51.554301,1,2,-10,-23,-15,5,-2,-2
19:24:51.568665,-5,2,58,16,-4,-5,-8,-7
19:24:51.576219,-7,2,5,-20,-6,3,-4,-3
19:24:51.591177,-3,-4,6,20,-3,-9,-4,-9
19:24:51.598689,3,-3,3,-26,0,5,3,4
19:24:51.613521,0,-6,-4,27,24,4,0,3
19:24:51.614385,0,8,25,22,-7,-4,-1,-2
19:24:51.629029,1,-3,-13,-26,-15,-1,2,4
19:24:51.636496,1,0,9,-8,1,4,3,2
19:24:51.651383,3,1,26,5,-2,-2,0,8
19:24:51.659061,-2,6,8,16,3,0,-1,0
19:24:51.674323,-3,-3,0,-6,-13,-1,0,-11
19:24:51.675178,1,-4,-16,-8,-24,-3,-2,-3
19:24:51.688680,-9,0,23,16,7,8,-9,-20
19:24:51.696368,0,-7,1,-10,-4,-6,5,11
19:24:51.711177,-6,0,-6,10,-7,1,2,-16
19:24:51.718678,2,3,6,19,15,-1,3,10
19:24:51.733518,-10,2,7,15,-3,9,-3,-17
19:24:51.734302,0,-6,7,7,-1,2,0,2
19:24:51.748608,-10,3,-6,16,-2,7,-8,-20
19:24:51.756384,-2,-9,6,-20,-6,-5,0,6
19:24:51.771166,-5,1,-15,1,-17,4,-3,-7
19:24:51.778657,-1,0,19,-6,15,-2,3,1
19:24:51.793557,-6,-2,0,-3,1,6,1,-6
19:24:51.794282,-3,8,1,18,6,1,1,-12
19:24:51.808542,-3,1,1,-1,14,2,-2,-3
19:24:51.823557,6,4,26,31,5,-2,6,1
19:24:51.831149,-2,0,2,13,-2,-7,0,-7
19:24:51.846118,-1,1,25,1,5,-2,6,12
19:24:51.853608,-6,-5,-13,-1,-3,-1,-4,-16
19:24:51.854301,-3,4,5,6,11,5,2,-2
19:24:51.868677,-11,-4,-17,-40,3,7,-3,-12
19:24:51.876232,2,-1,13,79,1,-9,2,10
19:24:51.891151,-3,-7,-23,-44,-7,14,0,-12
19:24:51.898676,0,2,16,28,8,-5,2,7
19:24:51.913587,-5,-4,-10,-29,-15,6,-4,-14
19:24:51.914256,1,1,-13,-7,7,7,4,-2
19:24:51.928691,-3,3,6,-19,-8,2,-3,-8
19:24:51.936519,-2,2,2,7,13,2,2,-3
19:24:51.951869,-4,-3,2,-8,-3,5,-2,-5
19:24:51.958748,0,7,15,5,8,2,9,2
19:24:51.973551,-9,0,6,5,-20,0,-7,-12
19:24:51.974291,-6,0,-10,-19,13,14,2,-12
19:24:51.988713,-2,-3,-5,-33,-15,2,2,-8
19:24:52.003625,-1,-5,-9,-7,16,3,6,2
19:24:52.011092,-3,-2,13,23,4,4,1,-5
19:24:52.018625,2,4,-6,-6,10,2,3,7
19:24:52.033508,0,5,40,38,3,3,0,-11
19:24:52.034304,2,-6,-12,14,-6,-9,1,13
19:24:52.048617,-5,1,6,-10,0,-1,-7,-7
19:24:52.056335,-6,-4,-11,-36,16,0,1,-1
19:24:52.071191,-7,1,1,12,-7,1,-5,-9
19:24:52.078668,-2,0,1,-2,14,2,2,9
19:24:52.093665,-5,7,10,23,-11,-3,-1,-12
19:24:52.101164,1,8,20,23,15,4,4,6
19:24:52.108684,-2,-7,-23,-55,-13,6,-2,-10
19:24:52.116335,-1,-1,14,59,10,3,9,3
19:24:52.138524,-5,5,7,3,0,8,-3,-13
19:24:52.139373,-6,-5,-30,-46,-3,0,1,2
19:24:52.153636,-2,-3,7,69,4,-1,0,2
19:24:52.161013,-3,-9,-11,-17,8,8,-1,6
19:24:52.168638,-2,3,9,-15,-9,1,-2,-12
19:24:52.176412,-5,-6,11,37,1,-5,-2,-1
19:24:52.191175,-4,-4,2,9,4,2,-3,-7
19:24:52.198664,-2,5,27,-4,-5,2,8,3
19:24:52.213732,2,6,6,-6,9,2,-4,-4
19:24:52.221074,0,-1,3,11,1,-1,3,8
19:24:52.236179,-3,1,-10,-13,-5,3,-4,-11
19:24:52.236831,-1,9,7,-24,-6,1,-1,-6
19:24:52.251189,-4,-8,-16,-14,0,1,-5,-8
19:24:52.258743,-3,2,16,-12,-4,-5,1,-7
19:24:52.273768,-7,-6,-9,-19,-3,7,-6,-15
19:24:52.281039,2,3,-12,-31,-3,1,-1,-6
19:24:52.296134,-3,-10,-56,-40,-6,3,-6,3
19:24:52.296779,0,-1,1,7,23,4,8,1
19:24:52.311116,-1,-3,0,-14,-24,3,1,1
19:24:52.318618,2,1,-7,-29,-4,2,1,0
19:24:52.341018,-5,-9,-9,-4,-8,-1,-6,-5
19:24:52.341596,1,-4,-8,-9,0,-3,-3,4
19:24:52.356232,1,-3,-1,23,9,7,1,-6
19:24:52.356786,-5,5,5,-26,1,0,2,-10
19:24:52.371201,-6,-3,-6,12,-5,3,-5,-9
19:24:52.378649,2,-7,-21,-48,-5,-1,0,7
19:24:52.393722,-1,2,7,2,6,-5,-3,-3
19:24:52.401038,0,2,8,-16,3,1,0,5
19:24:52.416166,0,-7,-8,2,13,4,-1,8
19:24:52.416824,1,2,0,32,14,3,0,-3
19:24:52.431202,2,-3,22,-3,-15,5,3,2
19:24:52.438690,-2,-2,-3,4,7,4,9,4
19:24:52.454345,-11,-8,-28,-116,-65,-3,-10,-20
19:24:52.461075,-1,-3,-1,27,22,6,3,1
19:24:52.476100,-4,2,9,-32,-27,7,-5,-17
19:24:52.476775,5,2,4,15,4,2,-3,6
19:24:52.506100,-1,2,0,-20,6,6,2,-1
19:24:52.506587,-4,-1,0,5,-3,1,-2,-6
19:24:52.513624,2,-4,-6,6,-5,-10,-2,6
19:24:52.520978,0,5,11,24,13,1,0,-6
19:24:52.536181,2,-2,-6,-15,-2,-7,-3,5
19:24:52.536822,-6,-6,-16,-59,-22,-1,-7,-14
19:24:52.551168,-1,-3,6,12,7,5,0,5
19:24:52.558683,-1,-4,4,50,-11,-10,1,12
19:24:52.573830,-2,1,16,16,2,4,0,2
19:24:52.580928,-4,-6,-40,-59,-7,-11,-13,-6
19:24:52.596146,-4,-3,17,-15,3,2,2,3
