timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
18:46:47.298117,-3,-1,-6,-7,-2,-1,-3,0
18:46:47.298125,0,-1,0,5,3,2,2,2
18:46:47.311209,-2,0,-1,2,1,0,-1,-2
18:46:47.326312,3,-3,1,-1,-3,0,2,4
18:46:47.333622,-2,0,1,15,3,1,-1,-1
18:46:47.340917,-3,-1,-2,7,5,2,1,0
18:46:47.356401,-1,-2,-6,-18,-9,-4,-3,-3
18:46:47.356781,0,-1,-3,-4,-5,-2,-1,4
18:46:47.371034,1,0,3,1,4,1,0,1
18:46:47.378937,-3,1,-5,-7,2,0,-1,3
18:46:47.401160,-1,2,-1,6,4,4,2,-1
18:46:47.401554,-2,-1,-6,4,2,-1,2,4
18:46:47.415876,-3,-5,-1,-1,-3,0,-1,-1
18:46:47.416665,-1,-2,-2,-4,0,1,-1,-6
18:46:47.431024,0,1,2,17,0,0,1,-2
18:46:47.438561,-2,-4,-1,5,-2,1,-1,2
18:46:47.453647,2,1,-1,-1,3,-1,0,-2
18:46:47.460854,-3,-2,-9,-22,-13,0,1,2
18:46:47.476040,1,1,6,14,10,4,-1,-1
18:46:47.476747,1,-1,1,6,6,0,-2,0
18:46:47.491138,1,-3,-2,-11,-5,-3,0,0
18:46:47.498670,1,-4,-2,3,-1,-2,1,5
18:46:47.513776,-1,0,2,8,3,3,-3,-4
18:46:47.520928,-3,-4,0,-10,-2,1,-1,-1
18:46:47.535793,-1,0,1,2,0,1,-3,-2
18:46:47.536642,-2,-2,1,3,0,0,1,1
18:46:47.551047,-2,-1,-2,1,1,-1,-1,-2
18:46:47.558516,-3,-2,-2,-4,1,1,0,-1
18:46:47.573524,0,0,-3,2,-1,-2,-3,-2
18:46:47.580811,0,1,-1,1,-1,-3,-4,2
18:46:47.610800,-2,0,0,0,1,0,-1,0
18:46:47.611385,1,-5,-1,-4,-2,0,1,4
18:46:47.612949,-4,-1,-2,-1,-1,0,-1,-3
18:46:47.618473,2,-2,3,-4,-1,3,-1,1
18:46:47.633541,-4,1,-2,11,0,-1,-2,-2
18:46:47.640807,-3,-4,-1,-2,-2,-1,1,-2
18:46:47.655819,-2,1,3,16,5,-2,1,-1
18:46:47.656665,0,-2,-3,-8,-4,0,-1,-4
18:46:47.671054,-2,2,0,4,5,-1,-1,-1
18:46:47.678514,-2,-1,-2,-3,-5,2,2,5
18:46:47.693506,-3,0,1,3,1,0,1,2
18:46:47.700813,-3,-2,0,-8,-2,0,1,1
18:46:47.715937,1,1,-2,-15,2,0,1,-2
18:46:47.716621,-3,-2,-3,1,0,-2,-2,-1
18:46:47.731708,-2,-1,0,7,-3,0,1,-4
18:46:47.745834,-1,-1,0,4,3,0,1,-1
18:46:47.753520,-5,-2,-6,-2,-3,-2,-3,-2
18:46:47.760985,-2,-5,-1,3,2,1,0,2
18:46:47.775839,-2,-5,-4,-4,-2,1,0,-3
18:46:47.776602,-2,-1,0,3,5,1,-1,-2
18:46:47.791051,-4,1,0,-10,-4,-5,-5,0
18:46:47.805842,-1,-2,2,31,11,2,1,-1
18:46:47.813634,-4,0,-3,-19,-11,0,-2,-2
18:46:47.828473,-2,-3,-5,-18,0,0,-4,0
18:46:47.835971,-2,1,4,11,5,2,-3,-5
18:46:47.836565,-2,-2,0,2,1,-1,-3,-3
18:46:47.851100,-1,0,0,0,-2,0,-3,1
18:46:47.865852,-1,-2,1,-8,-6,-1,-3,-2
18:46:47.873520,-2,-2,-4,-4,-6,-2,-1,-2
18:46:47.880877,-3,-4,-3,1,0,-1,2,0
18:46:47.895859,-1,-4,-2,13,4,0,-2,1
18:46:47.896600,-2,1,3,5,-1,-1,-1,-4
18:46:47.911058,-1,-2,-1,-5,-8,-2,-2,-4
18:46:47.918268,0,-2,2,13,6,0,1,1
18:46:47.933470,1,-4,-1,-5,0,0,-1,-2
18:46:47.940791,1,-1,-8,-45,-13,1,1,-2
18:46:47.956096,-2,-1,-4,-4,1,-2,-2,-1
18:46:47.963317,-1,3,2,-5,-5,0,-2,0
18:46:47.970884,3,-1,1,16,10,2,1,-1
18:46:47.985809,-3,-1,-4,-11,3,2,2,0
18:46:47.993534,-1,-1,0,3,-2,-4,-3,0
18:46:48.000813,-4,-4,6,19,6,-1,0,-4
18:46:48.015897,-2,-2,-8,-22,-15,-4,0,-1
18:46:48.016601,-5,1,5,28,7,2,0,1
18:46:48.031831,-2,2,1,10,-3,-3,1,1
18:46:48.038502,-1,0,-3,-5,-2,0,2,1
18:46:48.053735,1,-5,0,9,6,1,2,2
18:46:48.061028,-4,-8,-6,6,1,-1,2,-4
18:46:48.076290,-2,0,-1,-21,-5,-2,-2,0
18:46:48.076951,-1,-2,-7,0,-7,0,0,0
18:46:48.091135,0,-1,-1,-6,3,-3,0,-1
18:46:48.098492,-2,1,2,8,0,-1,-1,-1
18:46:48.113875,0,-4,-2,-18,5,-1,-3,-3
18:46:48.120876,0,-5,-4,-5,2,-3,1,-1
18:46:48.136100,-3,0,0,-10,-4,-1,-1,-2
18:46:48.143403,2,-1,2,10,4,1,1,0
18:46:48.150999,-3,0,2,8,4,-2,2,-1
18:46:48.158429,-2,0,-1,-20,-21,-6,-1,1
18:46:48.173591,-1,-3,2,4,3,2,-3,-1
18:46:48.180892,-3,-1,0,-6,11,3,3,-1
18:46:48.203404,-6,-1,2,-1,3,-1,-3,-2
18:46:48.203959,0,-5,-4,16,3,2,2,-2
18:46:48.211084,1,-3,-2,-5,-6,-3,-1,2
18:46:48.218309,0,-3,-2,-3,7,0,-2,-2
18:46:48.233549,-2,-5,-3,-12,-6,1,1,1
18:46:48.240827,0,0,0,-6,0,-3,0,1
18:46:48.256066,-4,-3,-1,-6,3,-4,-2,-5
18:46:48.263493,-3,-1,0,3,0,-3,0,0
18:46:48.278400,0,2,2,-3,-5,-3,2,-1
18:46:48.278951,-1,0,0,0,7,1,-1,0
18:46:48.293602,-2,-1,-3,-11,-1,-2,0,2
18:46:48.308468,0,0,0,8,3,4,0,2
18:46:48.316060,-1,1,5,5,11,4,2,3
18:46:48.323392,-2,-2,-15,-25,-14,-1,-1,-1
18:46:48.339086,-2,-1,1,-6,-7,-3,-1,2
18:46:48.339722,0,5,11,23,15,6,4,5
18:46:48.353606,-1,-6,-6,-14,-13,-4,2,-5
18:46:48.361118,-4,0,-2,-1,-2,-3,-4,-1
18:46:48.376656,4,7,0,-5,6,3,1,-2
18:46:48.384370,0,-3,5,35,4,1,4,4
18:46:48.398407,-7,-5,-5,-15,-11,-2,-1,0
18:46:48.406007,-1,-5,2,3,1,-2,0,2
18:46:48.413621,-4,-3,-6,-26,-8,-2,1,-3
18:46:48.421839,-2,-5,-2,-12,-6,-4,-3,3
18:46:48.436082,-4,-3,2,16,13,6,1,-3
18:46:48.444277,0,3,-3,-27,-12,-5,-1,-2
18:46:48.458314,-4,-7,-8,7,-2,0,-1,-1
18:46:48.459862,4,4,7,4,-1,3,6,2
18:46:48.473436,2,1,-6,-11,0,2,2,0
18:46:48.481614,-4,-2,-1,-1,0,2,1,-4
18:46:48.495987,-2,-3,0,-3,-2,0,-2,-4
18:46:48.511677,-2,1,-1,-3,-1,-5,-1,1
18:46:48.518296,1,0,0,-4,-3,1,2,3
18:46:48.519818,2,1,5,18,3,-2,2,-4
18:46:48.533446,0,-5,-5,-6,-2,-2,2,4
18:46:48.541570,3,1,6,-20,-15,-1,0,0
18:46:48.556062,-5,-1,0,0,7,2,0,-4
18:46:48.564172,-3,-4,4,-2,-6,-2,1,2
18:46:48.578328,2,5,4,-1,6,-1,1,1
18:46:48.579820,0,-3,1,6,-6,-2,1,-1
18:46:48.593509,-3,-4,-2,-6,-9,-3,-1,-1
18:46:48.601661,2,2,-1,-21,3,2,3,4
18:46:48.616003,0,-2,-4,-7,3,3,3,-1
18:46:48.624153,1,0,-4,6,3,2,2,1
18:46:48.638352,-2,-1,4,10,12,3,2,-1
18:46:48.639887,0,-1,-6,-25,-18,-5,2,4
18:46:48.653466,-3,-3,-1,11,9,6,0,-1
18:46:48.661700,1,0,10,28,9,3,6,5
18:46:48.675963,0,-3,-9,-34,-10,-3,-1,-2
18:46:48.684152,-4,-3,2,-12,6,5,1,1
18:46:48.698249,-2,-5,-9,-20,-13,-2,2,0
18:46:48.699787,1,-1,3,5,2,0,2,0
18:46:48.713482,-1,-1,-13,-17,-7,-6,-6,-3
18:46:48.721725,0,0,0,4,-2,-2,-2,-3
18:46:48.735915,-2,-11,-10,-1,6,6,-1,2
18:46:48.744291,2,4,14,17,8,2,3,6
18:46:48.758349,-2,-4,-8,-18,-10,-3,-9,-7
18:46:48.759869,1,0,0,3,2,2,1,-1
18:46:48.773655,0,0,2,23,8,2,-1,-2
18:46:48.781716,1,2,9,10,7,-1,1,1
18:46:48.796104,-5,-2,3,8,11,4,0,0
18:46:48.804231,0,1,-3,-26,-2,-2,5,2
18:46:48.818381,-8,-5,-7,-9,-11,-12,-7,-6
18:46:48.819820,1,3,4,-3,-2,1,0,0
18:46:48.842006,-1,-3,0,20,11,2,0,1
18:46:48.842691,-4,-6,0,-6,1,-5,-7,-4
18:46:48.856214,-1,-2,0,-4,-8,-4,-3,-1
18:46:48.864203,4,-1,-4,-18,-6,-3,-3,-2
18:46:48.878710,-1,0,2,7,4,1,2,2
18:46:48.879843,3,-1,5,2,4,2,3,3
18:46:48.893683,-2,-4,-8,-19,-20,-7,-4,-1
18:46:48.915910,0,0,4,0,-1,3,3,2
18:46:48.916738,-1,-5,-17,-12,1,0,0,6
18:46:48.924184,1,4,2,2,-2,-3,-3,0
18:46:48.938384,-2,-4,-7,-5,-7,-2,-4,-4
18:46:48.939846,-2,-4,-2,0,18,11,5,1
18:46:48.953664,1,3,-6,-6,-1,-4,0,2
18:46:48.961845,-5,-5,-3,13,12,3,1,0
18:46:48.976834,-5,0,4,0,-5,-2,-5,-1
18:46:48.991925,-1,-3,-16,-33,-7,0,2,-2
18:46:48.998411,-2,-4,1,5,5,-1,-3,-2
18:46:48.999862,-1,0,8,7,11,7,3,2
18:46:49.013553,-5,-4,-7,-5,-8,-4,-3,-1
18:46:49.029590,-1,2,6,16,11,3,2,0
18:46:49.036046,4,2,-2,-1,-1,2,4,2
18:46:49.051813,-3,0,3,4,8,3,3,3
18:46:49.058491,-1,-3,-18,-59,-19,-2,0,-3
18:46:49.066054,2,2,10,30,10,8,3,4
18:46:49.073694,-1,0,-3,-2,-6,-4,-2,-1
18:46:49.081751,-2,0,9,31,20,4,5,2
18:46:49.095957,-4,-2,5,-3,-10,-11,-5,-3
18:46:49.104195,-9,-9,-13,3,7,7,0,-1
18:46:49.118578,-1,-7,-11,-20,-18,-7,-2,-6
18:46:49.126734,0,3,6,-3,-3,5,1,2
18:46:49.140808,-1,0,-5,7,7,6,1,2
18:46:49.142712,-3,2,-2,-25,-22,-7,0,2
18:46:49.155913,1,-2,-5,7,25,11,1,1
18:46:49.164176,0,2,-1,-30,-22,-12,-8,-2
18:46:49.178395,1,0,5,11,6,6,-1,3
18:46:49.185967,0,-5,-8,1,-4,-5,-3,-4
18:46:49.200873,-2,-5,-6,1,-3,-2,-1,0
18:46:49.202310,-1,0,2,8,1,-1,2,1
18:46:49.216062,-1,-4,-6,16,31,15,2,3
18:46:49.224202,-3,-4,-2,-10,-17,-9,-2,1
18:46:49.238391,-3,5,3,-10,5,8,2,0
18:46:49.246084,0,-1,-1,-10,-7,-2,2,1
