timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
18:57:35.857581,0.23169,-0.1626,0.7793,-6.35115,-35.98473,2.41221
18:57:35.866329,0.2417,-0.18726,0.77368,-10.64122,-34.42748,2.65649
18:57:35.876144,0.24072,-0.20215,0.78101,-11.29771,-32.25954,2.9313
18:57:35.886225,0.25024,-0.21655,0.78345,-8.44275,-30.74809,2.68702
18:57:35.896114,0.26196,-0.21191,0.79102,-3.46565,-29.14504,2.39695
18:57:35.906146,0.25757,-0.2085,0.80688,0.76336,-27.45038,1.61832
18:57:35.915945,0.27173,-0.20361,0.82788,3.0229,-25.66412,1.1145
18:57:35.925565,0.28101,-0.19409,0.82275,4.0916,-23.69466,0.25954
18:57:35.936055,0.28223,-0.19165,0.82031,4.76336,-22.24427,-0.61069
18:57:35.946192,0.28491,-0.20117,0.81958,4.38168,-22.12214,-1.38931
18:57:35.956156,0.29053,-0.19312,0.81665,3.34351,-21.32825,-1.81679
18:57:35.966071,0.28662,-0.20459,0.83032,4.96183,-20.42748,-2.27481
18:57:35.976039,0.29834,-0.19067,0.84595,6.32061,-20.0,-1.83206
18:57:35.986110,0.30786,-0.17114,0.85107,6.58015,-19.84733,-1.63359
18:57:35.996378,0.30371,-0.18457,0.86279,6.70229,-19.83206,-1.87786
18:57:36.006127,0.31445,-0.16626,0.87695,5.60305,-18.90076,-0.90076
18:57:36.016154,0.31519,-0.15747,0.88354,3.03817,-18.9313,-0.53435
18:57:36.026345,0.31665,-0.15967,0.87891,-1.43511,-18.22901,-0.06107
18:57:36.036127,0.32349,-0.17236,0.86743,-4.0,-18.8855,0.45802
18:57:36.046336,0.31934,-0.18799,0.87329,-4.24427,-19.38931,1.12977
18:57:36.056119,0.33179,-0.17139,0.8894,-5.34351,-19.54198,1.58779
18:57:36.066038,0.33179,-0.1687,0.88721,-6.30534,-19.98473,1.8626
18:57:36.076044,0.33618,-0.16992,0.88721,-8.18321,-20.16794,1.92366
18:57:36.086090,0.34253,-0.17041,0.88843,-7.75573,-20.38168,1.89313
18:57:36.096130,0.34448,-0.17261,0.88208,-7.26718,-20.56489,1.96947
18:57:36.106351,0.34424,-0.1709,0.87451,-7.57252,-21.28244,2.10687
18:57:36.116188,0.35229,-0.16992,0.88599,-9.45038,-21.93893,2.58015
18:57:36.126315,0.3501,-0.16968,0.88135,-11.57252,-22.18321,3.17557
18:57:36.136667,0.34912,-0.18262,0.88135,-11.84733,-23.57252,3.0687
18:57:36.146153,0.34717,-0.19019,0.8916,-10.70229,-24.74809,3.38931
