timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
19:01:13.443596,-2,2,1,4,3,3,0,0
19:01:13.450555,-2,-3,-3,5,0,-2,0,1
19:01:13.458965,-1,-1,8,-6,-6,-1,3,2
19:01:13.472946,0,-1,-2,1,1,1,-1,-2
19:01:13.480624,0,-2,0,5,3,-1,1,-1
19:01:13.495344,0,0,0,1,-3,1,-1,0
19:01:13.503127,2,-1,2,2,1,0,1,-4
19:01:13.518253,-1,-2,1,-2,-4,1,-2,-1
19:01:13.519841,1,0,0,3,6,0,0,2
19:01:13.532972,-2,-1,-1,-9,-11,-2,-1,-1
19:01:13.540564,-1,1,-5,-19,-13,-5,-2,1
19:01:13.555311,1,0,-1,6,-1,2,-1,0
19:01:13.562976,1,2,1,18,14,0,2,2
19:01:13.577968,-1,-3,-3,-1,-3,-3,-2,-2
19:01:13.579489,-4,-1,-1,-7,-2,-1,1,-3
19:01:13.592906,-1,-2,1,0,4,-2,-5,-1
19:01:13.600784,-2,0,-2,-5,0,1,0,1
19:01:13.615372,-3,-1,-1,2,-2,0,-4,1
19:01:13.623021,0,-1,-1,-2,-1,-1,-3,3
19:01:13.637828,-4,-2,-1,-2,-2,-2,-1,-1
19:01:13.639423,-3,0,0,0,-2,0,-2,-1
19:01:13.652760,-1,-4,4,4,4,2,0,-2
19:01:13.660494,0,0,-3,-4,1,0,3,-2
19:01:13.675410,-3,0,1,1,11,-1,-1,0
19:01:13.683042,1,-2,-1,-20,-7,-2,0,1
19:01:13.697799,-2,1,0,6,0,1,0,1
19:01:13.699440,2,0,1,-2,-4,-3,-1,0
19:01:13.712880,-3,2,-1,3,5,-2,-1,-2
19:01:13.720584,1,-1,-1,-5,-2,-3,-1,-2
19:01:13.735450,2,-1,1,3,2,-1,1,-3
19:01:13.758272,0,0,-5,-8,-5,-3,0,1
19:01:13.758617,-1,0,1,0,2,1,-1,1
19:01:13.759880,0,-4,-2,-5,0,3,1,2
19:01:13.772783,-1,1,-1,2,1,0,0,1
19:01:13.780428,0,1,-5,-3,2,-1,-1,-4
19:01:13.802748,-1,-3,5,1,2,1,0,0
19:01:13.804259,-1,4,3,23,20,-2,-1,0
19:01:13.817875,0,-1,-4,-7,-7,-2,-1,-1
19:01:13.818662,0,-2,-2,6,3,1,-4,1
19:01:13.833701,-1,0,-2,6,0,-1,-1,1
19:01:13.840721,1,0,-1,-8,-7,-2,-1,-3
