timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
11:26:28.418814,-3,-4,-3,7,4,0,-2,-1
11:26:28.427786,7,8,1,3,4,4,5,4
11:26:28.441459,1,-5,-17,-25,-9,-5,-2,0
11:26:28.449491,1,6,14,-8,-6,-1,3,1
11:26:28.463729,-6,-6,-7,-8,-4,-5,-5,-4
11:26:28.465138,1,3,1,7,1,3,3,2
11:26:28.479210,-3,-6,-10,4,1,0,-1,-3
11:26:28.494577,-3,3,4,-9,-5,1,2,3
11:26:28.501500,-2,-2,-2,10,-1,-1,-3,-4
11:26:28.509595,2,3,2,6,6,3,2,4
11:26:28.524004,-7,-4,-20,11,2,0,-4,-4
11:26:28.525309,2,-3,11,11,1,0,-2,-1
11:26:28.539075,-6,-1,-6,-3,-2,-4,-4,-5
11:26:28.547103,0,3,-1,4,0,-1,1,2
11:26:28.561531,-8,-1,-3,-3,0,-5,0,-1
11:26:28.569569,3,0,7,4,1,1,0,1
11:26:28.583781,-6,-7,0,-3,-4,-4,-3,-6
11:26:28.585198,3,1,-3,-4,-1,1,3,3
11:26:28.599011,-4,-4,-12,0,2,-4,-4,-6
11:26:28.607123,1,-1,-4,-14,-10,0,1,2
11:26:28.621449,-11,-5,-21,3,1,-1,-5,0
11:26:28.629655,4,-1,4,-6,-2,-2,4,5
11:26:28.644084,-3,-5,-6,10,2,0,-1,-1
11:26:28.645220,0,0,3,3,-1,0,1,2
11:26:28.658975,-2,-2,-5,-8,-4,-6,-7,-6
11:26:28.667114,5,-5,3,2,1,2,2,2
11:26:28.681528,-6,-5,-5,-2,0,-5,-4,-1
11:26:28.689474,-1,-1,0,-3,1,0,2,-3
11:26:28.703627,-5,-7,-7,-8,-3,-2,-1,-5
11:26:28.705118,2,2,-4,1,-2,1,1,1
11:26:28.719816,-7,-2,-8,8,-4,-3,-1,-1
11:26:28.726997,2,2,-9,2,-1,-5,1,-2
11:26:28.748724,-5,0,2,-8,-7,-3,-6,-3
11:26:28.750226,2,2,4,9,2,2,1,0
11:26:28.763725,-4,-2,-3,-4,-3,-4,-5,-1
11:26:28.765209,-1,0,-2,-13,0,2,-1,2
11:26:28.779005,-8,-2,-2,-3,0,-2,-4,-6
11:26:28.787143,2,1,2,-7,1,4,1,2
11:26:28.801258,-3,-4,-14,-17,-1,-4,-4,-2
11:26:28.809006,-1,2,2,6,5,0,3,2
11:26:28.823753,-6,-9,-20,-27,-11,-1,-4,-3
11:26:28.825133,2,-5,5,5,6,3,1,5
11:26:28.838837,-7,-7,-5,14,-1,-6,-4,-5
11:26:28.847067,1,-4,3,0,0,-3,4,2
11:26:28.868722,-9,-5,8,27,8,1,-2,-2
11:26:28.870186,0,-1,1,-27,-15,-3,-1,1
11:26:28.883554,-3,-11,-1,11,7,1,-6,-6
11:26:28.885169,-2,-2,-1,4,4,3,4,1
11:26:28.898959,-4,-4,-1,10,5,-1,-4,-4
11:26:28.907032,2,2,-18,-26,-9,2,1,2
11:26:28.921083,-7,-7,-4,-13,-1,-1,-5,-3
11:26:28.928819,3,1,3,11,6,0,3,2
11:26:28.943563,-10,-6,0,9,1,-5,-6,-3
11:26:28.951397,1,0,-8,-25,-9,-2,-1,0
11:26:28.966339,-8,0,3,6,3,1,-4,1
11:26:28.967615,-2,-1,-1,6,6,2,-1,-2
11:26:28.988683,-6,-3,-10,-16,-10,0,-3,-3
11:26:28.990196,0,-2,4,1,-2,-1,1,2
11:26:29.003917,-6,1,-3,-8,-4,0,-5,-3
11:26:29.019076,1,-2,-3,-13,-4,-1,0,1
11:26:29.026216,-9,-9,-4,8,5,2,-3,-5
11:26:29.027731,2,1,6,5,4,4,2,2
11:26:29.041317,-6,-4,-7,6,-2,-3,-4,-3
11:26:29.048753,-3,2,-1,-25,-8,-1,1,0
11:26:29.063616,-7,-8,-6,1,-2,-5,-3,-4
11:26:29.079181,2,2,24,19,4,2,1,4
11:26:29.086284,-6,-7,-8,-9,3,-2,-4,-2
11:26:29.087637,3,-4,-4,-35,-9,0,1,3
11:26:29.101183,-7,-4,-1,6,6,1,-1,-5
11:26:29.108752,2,1,1,-1,-1,4,4,3
