timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
11:01:42.678866,-2,2,-2,8,-9,-7,-4,-12
11:01:42.686643,-4,-1,-2,-15,3,3,1,7
11:01:42.701243,1,-1,30,11,-4,-5,-6,-9
11:01:42.702628,2,2,7,-12,3,8,1,9
11:01:42.716885,-1,1,-4,13,-5,-4,-3,-12
11:01:42.731909,-2,1,2,-23,6,1,1,7
11:01:42.738608,-1,-1,-1,22,-6,-5,-2,-3
11:01:42.746333,-2,-2,20,-15,3,5,3,11
11:01:42.761370,1,2,-6,4,-4,-3,-4,-12
11:01:42.762611,-2,-3,0,-16,2,2,1,7
11:01:42.776252,3,-1,-20,10,-1,-5,0,-11
11:01:42.784422,-1,0,-18,-15,3,2,-1,9
11:01:42.798658,-1,0,21,18,-4,-3,3,-5
11:01:42.806222,-2,-3,-4,-21,6,4,4,4
11:01:42.821145,-2,-4,-16,32,-6,-2,-4,-7
11:01:42.822661,-1,1,15,-13,5,7,3,9
11:01:42.843670,-2,1,-2,15,-4,-3,-3,-10
11:01:42.845059,2,0,0,-18,6,1,1,7
11:01:42.858613,-2,-5,9,12,-3,-7,0,-13
11:01:42.866298,1,2,41,-11,2,4,0,10
11:01:42.881124,3,2,-6,19,-5,3,-2,-5
11:01:42.882599,-3,2,13,-16,5,5,4,7
11:01:42.896453,0,0,-9,14,0,-7,-3,-9
11:01:42.904596,-5,-2,0,-17,2,5,6,2
11:01:42.918565,-5,3,9,18,-6,-3,-5,-7
11:01:42.926233,-3,3,4,-15,2,3,4,11
11:01:42.941101,2,0,0,27,6,1,1,-6
11:01:42.942602,-3,0,0,-16,3,1,0,7
11:01:42.956217,1,2,29,17,-3,-8,-4,-9
11:01:42.964407,-1,-1,13,-13,1,5,1,7
11:01:42.978541,-2,0,-2,16,-4,-9,0,-2
11:01:42.986227,-5,-1,-1,-20,4,4,2,6
11:01:43.001198,1,0,-2,8,-7,-6,-4,-7
11:01:43.002602,-5,3,-3,-8,3,6,5,5
11:01:43.016225,1,-3,-11,15,-4,-1,-2,-7
11:01:43.024438,-3,0,1,-17,2,4,1,7
11:01:43.038597,-3,-2,-2,13,-4,-8,-1,-7
11:01:43.046292,1,0,-16,-12,1,4,-1,12
11:01:43.061158,3,-4,-17,11,-3,-6,-2,-9
11:01:43.062590,-2,-3,6,-9,2,3,2,7
11:01:43.083581,0,-1,0,18,-2,-2,-3,-7
11:01:43.085086,0,0,0,-6,9,7,-1,11
11:01:43.098523,3,-4,-1,10,-2,-5,-2,-11
11:01:43.106196,0,-2,-9,-15,2,5,0,7
11:01:43.121052,-1,0,3,13,-5,-2,-2,-8
11:01:43.128708,3,-1,-8,-11,3,2,6,7
11:01:43.143608,-5,1,14,10,-11,-5,-8,-13
11:01:43.145019,-6,-4,-9,-13,6,1,-1,4
11:01:43.158571,1,-3,-2,12,-5,-7,0,-6
11:01:43.166232,0,0,1,-8,1,7,4,3
11:01:43.181110,-3,-1,-13,18,-2,-4,-6,-8
11:01:43.188697,-3,2,22,-6,7,7,2,2
11:01:43.203735,1,0,-8,16,-4,-8,-4,-10
11:01:43.205078,0,1,6,-11,0,4,0,4
11:01:43.218584,0,-2,-2,16,-3,-3,-4,-8
11:01:43.226248,1,-2,34,-14,4,1,3,1
11:01:43.241068,-3,1,3,27,-3,-5,-6,-15
11:01:43.248765,-5,-4,-1,0,4,6,0,7
11:01:43.263718,3,-2,3,3,-8,-9,-5,-12
11:01:43.265412,-2,-2,-7,-11,4,8,4,2
11:01:43.278743,1,1,-4,17,-1,-4,-3,-6
11:01:43.286275,0,2,-6,-19,-3,2,2,1
11:01:43.308674,0,3,18,14,-9,-5,0,-4
11:01:43.310265,-2,-1,-10,-23,1,5,7,3
11:01:43.323671,-1,0,20,9,-3,-6,0,-7
11:01:43.325133,-2,0,-9,-18,-2,2,1,0
11:01:43.338671,0,-1,-4,11,-3,-5,-3,-5
11:01:43.346312,3,0,-8,-12,6,3,-1,3
11:01:43.361301,-1,2,-6,10,-3,-5,0,-5
11:01:43.368889,-4,1,21,-22,0,4,2,4
11:01:43.383655,5,-5,-19,35,-8,-1,1,-8
11:01:43.385060,-2,5,10,-6,9,6,-2,5
11:01:43.398591,0,-4,2,21,-13,-8,-3,-9
11:01:43.406258,-1,1,-4,-12,3,9,-1,3
11:01:43.421103,-3,2,31,7,-1,-3,-5,-11
11:01:43.428756,-1,2,17,-10,3,4,4,4
11:01:43.443644,-6,-5,-22,19,-9,-8,-4,-10
11:01:43.445058,-4,2,5,-14,9,6,1,6
11:01:43.458657,-3,-3,-3,8,-4,-4,-4,-7
11:01:43.466292,1,-4,-1,-2,-2,4,4,9
11:01:43.481280,2,2,9,3,3,-7,-4,-6
11:01:43.488928,0,4,0,-3,5,15,5,15
11:01:43.503656,-5,-4,4,0,-14,-7,-6,-9
11:01:43.505072,-2,1,28,-9,7,3,-3,6
11:01:43.518675,-2,-4,-7,8,-12,-5,-1,-1
11:01:43.526232,-3,-1,-1,-2,-3,0,-3,3
11:01:43.541203,1,1,-9,3,-11,-6,0,-4
11:01:43.556228,-2,-2,6,0,7,4,2,6
11:01:43.563683,-1,3,-1,13,-4,-5,-5,-5
11:01:43.565137,-3,-4,-8,-12,6,0,-3,6
11:01:43.578711,3,2,-6,10,0,0,4,-5
11:01:43.586278,-2,-4,4,-36,-6,-1,-3,-5
11:01:43.601128,-4,-2,7,23,10,1,0,-5
11:01:43.608805,-2,-2,-1,-8,-3,0,4,4
11:01:43.623650,0,-2,6,0,-9,-8,-2,-5
