timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
11:05:33.551187,0.25488,-0.34644,0.8728,-17.25191,-30.29008,-17.0229
11:05:33.559741,0.25659,-0.35181,0.86719,-20.45802,-33.45038,-15.09924
11:05:33.569742,0.27563,-0.3645,0.88037,-19.89313,-34.76336,-15.48092
11:05:33.579964,0.27368,-0.37891,0.89429,-13.09924,-34.33588,-15.9084
11:05:33.589624,0.28369,-0.36719,0.89087,-7.08397,-33.74046,-16.10687
11:05:33.599503,0.28613,-0.35864,0.89282,-0.39695,-33.03817,-17.43511
11:05:33.609435,0.28442,-0.3623,0.90894,4.16794,-35.8168,-18.24427
11:05:33.619316,0.29468,-0.3252,0.89014,8.59542,-36.06107,-18.36641
11:05:33.629586,0.30615,-0.31348,0.89136,10.54962,-37.67939,-19.16031
11:05:33.639638,0.32007,-0.29858,0.87744,11.26718,-37.37405,-18.80916
11:05:33.649866,0.33325,-0.28687,0.85962,9.16031,-38.29008,-18.38168
11:05:33.659529,0.34106,-0.28125,0.8479,5.29771,-39.14504,-17.58779
11:05:33.669920,0.33765,-0.26147,0.82397,2.38168,-39.89313,-16.27481
11:05:33.679886,0.34302,-0.27051,0.84326,-0.91603,-44.22901,-16.33588
11:05:33.690125,0.35278,-0.26587,0.84204,-1.57252,-44.74809,-14.77863
11:05:33.699582,0.36328,-0.26196,0.84302,-2.79389,-46.59542,-14.0916
11:05:33.709624,0.36646,-0.28467,0.86255,-1.40458,-47.41985,-12.8855
11:05:33.719790,0.38086,-0.26294,0.83789,0.0458,-47.37405,-10.71756
11:05:33.729579,0.39941,-0.25415,0.8313,0.44275,-47.41985,-9.75572
11:05:33.739689,0.4082,-0.27002,0.82007,1.55725,-47.83206,-8.64122
11:05:33.749562,0.41577,-0.27368,0.82837,2.47328,-49.84733,-7.66412
11:05:33.759779,0.41943,-0.26709,0.83838,4.53435,-50.12214,-7.58779
11:05:33.769730,0.41724,-0.26855,0.82104,7.14504,-50.70229,-7.22137
11:05:33.779663,0.4231,-0.27075,0.82446,9.32824,-50.85496,-7.63359
11:05:33.789632,0.42554,-0.25244,0.79932,10.0,-50.42748,-7.0687
11:05:33.799386,0.4436,-0.25391,0.78711,8.35114,-51.09924,-6.94656
11:05:33.809518,0.44434,-0.25391,0.78296,6.76336,-51.35878,-6.51908
11:05:33.819695,0.46436,-0.25854,0.75488,5.1145,-52.27481,-5.80153
11:05:33.829592,0.47144,-0.26733,0.76855,4.76336,-52.36641,-6.0916
11:05:33.839544,0.479,-0.26978,0.75073,5.74046,-51.77099,-5.69466
11:05:33.849600,0.48169,-0.25635,0.74072,5.40458,-50.9313,-4.9313
11:05:33.859674,0.49683,-0.25488,0.74585,3.96947,-51.08397,-5.37405
11:05:33.869253,0.4939,-0.25708,0.74023,4.33588,-51.28244,-5.19084
11:05:33.879360,0.50952,-0.25269,0.74805,4.15267,-51.87786,-4.9771
11:05:33.889596,0.5083,-0.26416,0.75684,5.12977,-51.57252,-5.28244
11:05:33.899560,0.52173,-0.26074,0.74146,6.25954,-50.96183,-4.32061
11:05:33.909533,0.53149,-0.25464,0.74805,6.38168,-50.71756,-4.56489
11:05:33.919597,0.53296,-0.25659,0.74072,6.83969,-50.64122,-4.71756
11:05:33.929566,0.54102,-0.24536,0.73193,6.44275,-50.9771,-4.39695
11:05:33.939588,0.54419,-0.24805,0.72656,6.38168,-51.0229,-4.44275
11:05:33.949571,0.54736,-0.25195,0.70923,7.0229,-50.74809,-4.58015
11:05:33.959675,0.56738,-0.25293,0.71118,6.8855,-50.9771,-4.70229
11:05:33.969625,0.57446,-0.25366,0.7041,6.53435,-50.8855,-4.07634
11:05:33.979289,0.58496,-0.25732,0.71875,5.51145,-52.13741,-4.38168
11:05:33.989612,0.59326,-0.24976,0.71875,5.40458,-52.87023,-4.07634
11:05:33.999611,0.60571,-0.26611,0.74438,6.21374,-54.0458,-4.87023
11:05:34.009595,0.60352,-0.27588,0.74438,8.73282,-53.78626,-4.87023
11:05:34.019614,0.60645,-0.26147,0.73071,11.61832,-53.38931,-5.40458
11:05:34.029457,0.61182,-0.26343,0.70801,13.19084,-53.23664,-5.54198
11:05:34.039862,0.62134,-0.25952,0.69629,13.78626,-54.39695,-5.92366
11:05:34.049631,0.63184,-0.26538,0.69385,13.49618,-55.67939,-6.01527
11:05:34.059586,0.64282,-0.24976,0.68848,13.49618,-56.12214,-6.15267
11:05:34.069561,0.64258,-0.26953,0.70386,15.22137,-56.41221,-7.93893
11:05:34.079528,0.64941,-0.24121,0.66553,15.87786,-56.25954,-6.82443
11:05:34.089569,0.67163,-0.21069,0.64209,13.43511,-55.34351,-7.8626
11:05:34.099807,0.66309,-0.21338,0.62256,9.29771,-55.66412,-7.9542
11:05:34.109638,0.67603,-0.20337,0.59033,3.0687,-57.09924,-7.25191
11:05:34.119770,0.68164,-0.21558,0.62451,-2.47328,-60.0458,-8.47328
11:05:34.129623,0.68652,-0.22656,0.61572,-2.07634,-60.25954,-8.51908
11:05:34.139912,0.70386,-0.20312,0.59399,-0.80916,-59.17557,-8.67176
11:05:34.149588,0.70972,-0.19897,0.6123,-0.73282,-57.31298,-9.60305
11:05:34.159869,0.71313,-0.20947,0.58887,-1.38931,-56.27481,-9.41985
11:05:34.169554,0.72388,-0.19336,0.57104,-6.38168,-58.38168,-8.35114
11:05:34.179706,0.72949,-0.2251,0.59155,-8.10687,-60.0,-9.43511
11:05:34.189919,0.73145,-0.22632,0.5791,-5.9542,-59.35878,-8.22901
11:05:34.199982,0.7439,-0.20801,0.56152,-2.85496,-57.20611,-8.19847
11:05:34.209571,0.74634,-0.21558,0.55688,2.0458,-54.29008,-9.26718
11:05:34.219621,0.74976,-0.18848,0.5166,3.80153,-53.89313,-8.82443
11:05:34.229372,0.76001,-0.1709,0.52954,0.53435,-56.32061,-9.32824
11:05:34.239708,0.76831,-0.18823,0.52832,-0.15267,-56.67176,-10.0458
11:05:34.249757,0.78809,-0.16968,0.50513,-1.26718,-57.09924,-9.08397
11:05:34.259687,0.79712,-0.17456,0.50537,-1.29771,-55.72519,-9.72519
11:05:34.269605,0.79736,-0.19092,0.50684,-0.12214,-54.03053,-9.51145
11:05:34.279793,0.80884,-0.17603,0.46753,-0.94656,-53.17557,-8.06107
11:05:34.289648,0.8125,-0.17114,0.47021,-3.51145,-54.27481,-8.96183
11:05:34.299836,0.80981,-0.18018,0.47021,-4.12214,-54.39695,-8.42748
11:05:34.309898,0.82056,-0.16284,0.43774,-5.54198,-53.51145,-7.72519
11:05:34.320074,0.82959,-0.17505,0.43555,-7.1145,-54.45802,-8.24428
11:05:34.329851,0.82007,-0.16382,0.41333,-7.52672,-51.49618,-7.12977
11:05:34.339705,0.84033,-0.13745,0.42212,-10.71756,-51.58779,-6.22901
11:05:34.349689,0.84863,-0.18115,0.45972,-12.19847,-53.32824,-8.80916
11:05:34.359615,0.84253,-0.18652,0.43921,-8.87023,-52.21374,-7.28244
11:05:34.369597,0.86353,-0.15649,0.40552,-6.54962,-50.65649,-7.28244
11:05:34.380184,0.85327,-0.18018,0.37549,-2.51908,-46.51908,-7.0687
11:05:34.389636,0.86426,-0.1582,0.35449,-2.61069,-45.08397,-4.45802
11:05:34.399652,0.87744,-0.14697,0.34717,-7.72519,-45.17557,-4.32061
11:05:34.409693,0.87524,-0.15942,0.34497,-12.07634,-46.01527,-3.83206
11:05:34.419496,0.88647,-0.15186,0.34473,-14.39695,-46.73283,-3.1145
11:05:34.429646,0.89624,-0.16284,0.35889,-13.12977,-43.86259,-5.16031
11:05:34.439668,0.89014,-0.15723,0.35254,-8.82443,-42.10687,-5.05344
11:05:34.449629,0.9082,-0.16553,0.34253,-7.14504,-41.22137,-6.36641
11:05:34.459645,0.90869,-0.16162,0.31982,-5.03817,-38.47328,-6.06107
11:05:34.469532,0.91553,-0.16235,0.3064,-6.51908,-38.64122,-5.43511
11:05:34.479759,0.91431,-0.1582,0.30713,-7.49618,-38.01527,-4.53435
11:05:34.489616,0.92334,-0.16357,0.3291,-7.81679,-38.53435,-5.08397
11:05:34.500055,0.91943,-0.16748,0.30249,-6.24427,-36.06107,-4.38168
11:05:34.509945,0.92188,-0.15015,0.29492,-5.54198,-34.79389,-3.98473
11:05:34.519848,0.92578,-0.16748,0.29077,-4.80916,-33.0687,-4.15267
11:05:34.529435,0.92236,-0.14404,0.26367,-5.17557,-29.83206,-2.87023
11:05:34.539619,0.927,-0.14282,0.26562,-8.03053,-32.01527,-4.30534
