timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
15:39:37.964351,-3,-2,-1,-4,-6,-4,-1,-7
15:39:37.967346,3,0,2,1,1,8,4,2
15:39:37.982340,-3,-2,-2,-5,1,-6,-4,4
15:39:37.992332,1,1,3,2,4,5,2,-2
15:39:38.008324,-3,-8,0,-6,-7,-10,-10,-1
15:39:38.008324,5,3,7,4,2,7,6,1
15:39:38.025313,0,0,-5,-3,-4,-10,-8,-6
15:39:38.027311,2,0,0,1,1,3,6,-4
15:39:38.042301,0,1,-3,-2,-3,-3,-3,-5
15:39:38.049296,2,-3,-2,4,3,5,4,-3
15:39:38.064287,-2,-6,-3,-5,1,-7,-7,-5
15:39:38.064287,-2,3,0,0,6,9,4,4
15:39:38.079278,-3,-2,-1,-4,-5,-8,-8,-7
15:39:38.088273,2,7,3,3,-2,6,1,3
15:39:38.103271,-2,-2,-7,-9,-3,-7,-3,-5
15:39:38.109259,2,-1,4,2,-3,5,3,-1
15:39:38.125249,-2,-7,-5,-4,-3,-4,-5,2
15:39:38.125249,6,2,3,0,2,5,4,1
15:39:38.140239,-6,-5,-2,-2,-4,-8,-1,-1
15:39:38.146238,1,3,0,-4,-1,2,5,0
15:39:38.161232,-5,-2,-1,-10,-1,-10,-6,1
15:39:38.169222,-1,-3,5,4,5,6,3,3
15:39:38.191229,-3,-6,-4,-8,-6,-5,-6,-8
15:39:38.192214,2,2,2,-2,4,5,0,6
15:39:38.200202,-1,-8,-2,-4,-1,-5,-4,-6
15:39:38.206201,2,2,-1,3,2,0,1,0
15:39:38.222189,-5,-3,-3,-7,-3,-9,-5,-4
15:39:38.229184,3,2,3,1,2,2,5,-1
15:39:38.244175,-5,-2,-3,-5,-3,-10,-9,-2
15:39:38.244175,0,-1,3,2,0,3,9,-1
15:39:38.260166,0,-10,-5,-9,-2,-5,-10,-4
15:39:38.267161,2,1,-1,1,0,4,6,-3
15:39:38.282154,-6,-5,-5,-7,-1,-8,-5,-9
15:39:38.290150,1,4,-2,1,0,4,-4,-1
15:39:38.305137,-7,-9,-5,-4,-4,-13,-5,-5
15:39:38.306140,-6,0,-1,2,-3,8,5,0
15:39:38.320130,-1,-7,-2,-2,-4,-12,-5,-6
15:39:38.327126,-2,5,3,4,1,4,0,1
15:39:38.342117,-4,-3,-2,-9,-5,-6,-9,1
15:39:38.349113,4,3,1,4,3,4,5,0
15:39:38.365100,-6,-3,-2,-5,-5,-9,-8,-6
15:39:38.372098,1,4,4,4,1,4,2,-3
15:39:38.387089,0,-7,-5,-6,2,-12,-9,-7
15:39:38.388089,-3,4,2,5,1,0,2,0
15:39:38.403080,-3,-5,-4,-7,-4,-5,-6,1
15:39:38.409072,-4,1,3,6,1,2,6,-1
15:39:38.425066,-5,-4,-4,-8,-4,-10,-7,-1
15:39:38.440053,1,-1,2,0,-1,9,6,6
15:39:38.447051,1,-2,-6,-7,-1,-8,-6,-4
15:39:38.448051,1,-2,0,6,-1,5,8,2
15:39:38.462040,-3,0,-1,-4,-2,-5,-2,-9
15:39:38.471035,-2,7,1,7,-2,5,6,4
15:39:38.485029,2,-1,-6,-6,-5,-7,-4,-3
15:39:38.492024,4,3,4,5,2,5,4,2
15:39:38.508012,1,-3,-3,-5,-2,-6,-10,-4
15:39:38.508012,1,-3,0,3,-2,5,5,0
15:39:38.523006,-3,-3,-2,-3,-2,0,-1,0
15:39:38.530001,1,6,8,4,0,8,4,6
15:39:38.552984,-5,-8,-5,-5,-3,-5,-4,-7
15:39:38.552984,-1,2,2,4,0,6,7,2
15:39:38.569977,2,-1,-7,-6,-2,-7,-4,-3
15:39:38.569977,-1,1,2,2,0,7,-1,-2
15:39:38.581968,-2,-1,1,-5,-3,-6,-3,-2
15:39:38.589965,-4,2,2,5,3,7,5,-1
15:39:38.604960,2,-6,0,-7,-3,-6,-7,-4
15:39:38.611950,1,0,0,4,0,3,4,5
15:39:38.626940,1,-3,-8,-6,-1,-8,-11,-2
15:39:38.627939,4,5,4,3,3,5,7,3
15:39:38.641931,-3,-2,-4,-3,-4,-6,-9,-1
15:39:38.648927,0,8,2,2,1,4,7,3
15:39:38.664916,-2,-1,-3,-8,1,-3,-8,-7
15:39:38.672912,3,3,0,3,-3,6,7,3
15:39:38.687904,-3,-2,-5,-3,0,-6,-6,-4
15:39:38.687904,-2,3,1,1,3,5,3,3
15:39:38.702892,1,1,-5,-4,2,-5,-7,3
15:39:38.709886,1,2,4,5,1,4,3,-2
15:39:38.724880,-1,-6,-5,-6,-7,-7,-6,-1
15:39:38.731875,4,-1,1,1,4,-2,7,3
15:39:38.746866,-2,0,-6,-6,-2,-9,-3,-4
15:39:38.747866,2,0,0,2,1,5,3,-2
15:39:38.761856,3,-4,-7,-9,-2,-5,-9,-3
15:39:38.770849,3,0,3,6,-2,11,8,-2
15:39:38.785846,-4,2,-5,-7,-4,-7,-8,-3
15:39:38.791838,-2,-1,2,4,2,5,7,-1
15:39:38.806826,-3,-6,-2,-6,2,-2,-5,-8
15:39:38.807825,0,0,0,5,-1,5,5,1
15:39:38.822820,-3,-1,-1,-8,-4,-5,-9,-1
15:39:38.829815,2,-1,4,0,2,7,1,4
