timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
15:39:49.135420,3,0,-1,-1,-4,-1,2,0
15:39:49.135420,-6,-3,-2,1,0,1,4,4
15:39:49.149411,4,-3,-3,-4,0,0,-1,6
15:39:49.157405,1,-5,0,4,-1,1,3,-2
15:39:49.175394,2,1,0,1,1,-1,-4,-4
15:39:49.180391,0,0,1,-2,3,5,-3,-2
15:39:49.232361,0,1,-2,-3,0,-1,-2,0
15:39:49.233360,0,1,1,0,-3,2,-2,0
15:39:49.233360,-2,-1,2,3,1,2,2,0
15:39:49.234358,0,1,1,-2,-2,-2,2,2
15:39:49.268336,-1,-1,-1,-2,0,1,-2,-7
15:39:49.269335,-3,6,1,1,0,3,0,-2
15:39:49.269335,-1,-4,-1,0,4,1,1,-2
15:39:49.269335,6,-2,-1,-3,-2,1,3,-2
15:39:49.270335,1,-3,-1,0,-2,4,-1,-2
15:39:49.277332,0,2,3,-1,2,-2,-2,2
15:39:49.295340,2,-6,-4,-3,0,-3,2,-3
15:39:49.304314,-7,-2,4,0,1,-3,2,3
15:39:49.314308,4,-1,2,-4,-2,-1,-6,-6
15:39:49.314308,-1,-2,1,1,1,3,2,-3
15:39:49.329297,-2,-1,0,-4,3,-2,2,-4
15:39:49.337292,-3,-4,1,1,-4,4,5,-1
15:39:49.352284,1,3,-1,0,-2,3,1,6
15:39:49.359279,-7,1,2,3,-1,-2,3,1
15:39:49.374270,0,0,-4,-3,-1,-2,-1,-1
15:39:49.374270,3,-7,0,-2,-2,4,7,0
15:39:49.389264,5,2,3,-5,1,3,-1,5
15:39:49.396261,-2,2,0,-2,-4,2,2,1
15:39:49.411252,5,6,-3,0,4,2,-1,3
15:39:49.419243,-6,1,0,0,0,0,-1,-4
15:39:49.435243,-4,4,-3,-1,3,0,-1,1
15:39:49.435243,-1,0,-1,-3,0,2,-2,1
15:39:49.449223,1,2,-1,1,-3,3,0,5
15:39:49.456219,-1,-3,1,-1,-1,2,-2,0
15:39:49.472210,0,4,2,1,-1,3,2,3
15:39:49.479205,-3,0,-1,1,-2,-5,-5,-1
15:39:49.494204,5,-4,-2,-2,0,2,-3,-1
15:39:49.494204,0,-1,0,-2,-3,1,4,-5
15:39:49.509187,-1,1,-3,-3,-3,-4,-3,-2
15:39:49.516182,-2,-5,3,1,0,-3,0,-3
15:39:49.532175,0,3,-2,-3,-3,0,3,-3
15:39:49.539171,-2,-4,0,-2,-3,0,-3,-3
15:39:49.555162,1,0,-1,0,-2,-4,-3,-2
15:39:49.555162,-5,2,0,0,-6,-6,-4,0
15:39:49.570152,0,-3,-6,-5,-1,-1,-5,-3
15:39:49.577146,-3,-1,-3,2,-6,-4,-4,-5
15:39:49.592138,1,0,-2,-1,-3,-6,-6,-7
15:39:49.599133,-5,-6,-4,1,0,-5,0,-6
15:39:49.614122,0,-1,1,0,-3,-10,-5,-1
15:39:49.615124,-4,-5,-2,-4,4,-3,-7,-6
15:39:49.637110,2,-6,-1,2,-4,-4,-3,-10
15:39:49.638109,-3,-4,2,2,0,1,0,-2
15:39:49.652101,0,-3,0,1,3,2,1,2
15:39:49.659096,-3,-3,0,2,1,-2,1,-12
15:39:49.675086,1,-3,-6,-2,-8,2,4,-6
15:39:49.675086,-8,0,-2,-2,1,-3,-7,2
15:39:49.690076,3,2,2,3,-1,-1,1,-2
15:39:49.698078,-4,-2,1,-3,0,-5,-2,3
15:39:49.712064,3,3,1,2,-1,1,4,4
15:39:49.720056,-4,-4,-2,0,2,1,3,-4
15:39:49.737047,-3,-4,6,-2,-1,8,0,1
15:39:49.742045,-2,-1,-1,-2,3,3,3,2
15:39:49.757036,7,4,3,0,3,0,3,2
15:39:49.758034,1,-4,1,-1,-3,-1,2,0
15:39:49.772026,-1,2,5,3,4,1,2,2
15:39:49.779019,-4,-3,1,-1,-1,0,-2,2
15:39:49.795012,2,6,0,-5,4,4,0,4
15:39:49.803006,-1,0,3,0,1,-1,-3,-2
15:39:49.819001,6,6,2,5,6,2,1,-1
15:39:49.819001,-4,0,3,-3,-4,-2,-3,4
15:39:49.831989,-1,2,-1,2,0,1,-1,-3
